,year,Superior,Michigan-Huron,St_Clair,Erie,Ontario,Superior-r,Michigan-Huron-r,St_Clair-r,Erie-r,Ontario-r
0,1918,183.3283333,176.8866667,174.9566667,174.015,74.8725,183.3852778,176.7522222,174.9494444,174.0347222,74.79861111
1,1919,183.3975,176.745,175.0766667,174.1808333,74.95583333,183.3779167,176.68625,174.929375,174.0325,74.76541667
2,1920,183.43,176.625,174.815,173.9083333,74.5675,183.3655,176.638,174.9056667,174.0115,74.74366667
3,1921,183.3558333,176.4883333,174.8691667,174.0258333,74.66583333,183.3446667,176.5135,174.8448333,173.96,74.65783333
4,1922,183.3158333,176.445,174.8108333,173.9275,74.65666667,183.2911667,176.4018333,174.757,173.8925,74.57816667
5,1923,183.2241667,176.2641667,174.6525,173.7575,74.44333333,183.211,176.2606667,174.6751667,173.8295,74.54266667
6,1924,183.13,176.1866667,174.6375,173.8433333,74.5575,183.1285,176.14,174.5816667,173.7525,74.49
7,1925,183.0291667,175.9191667,174.4058333,173.5933333,74.39,183.13,176.0806667,174.5391667,173.7306667,74.48
8,1926,182.9433333,175.885,174.4016667,173.6408333,74.4025,183.1795,176.1165,174.5696667,173.7695,74.5515
9,1927,183.3233333,176.1483333,174.5983333,173.8183333,74.60666667,183.253,176.2583333,174.695,173.8631667,74.657
10,1928,183.4716667,176.4433333,174.805,173.9516667,74.80083333,183.335,176.4046667,174.8328333,173.9985,74.79516667
11,1929,183.4975,176.8958333,175.2641667,174.3116667,75.085,183.4115,176.4513333,174.8541667,174.0113333,74.78616667
12,1930,183.4391667,176.6508333,175.095,174.27,75.08083333,183.432,176.4098333,174.8476667,173.9948333,74.76533333
13,1931,183.3258333,176.1183333,174.5083333,173.705,74.3575,183.4266667,176.2946667,174.796,173.9398333,74.66033333
14,1932,183.4258333,175.9408333,174.5658333,173.7358333,74.5025,183.4266667,176.0688333,174.598,173.7438333,74.44766667
15,1933,183.445,175.8675,174.5466667,173.6766667,74.27583333,183.4408333,175.9168333,174.4511667,173.572,74.23233333
16,1934,183.4975,175.7666667,174.2741667,173.3316667,74.02166667,183.4675,175.881,174.4281667,173.5286667,74.19366667
17,1935,183.51,175.8908333,174.3608333,173.4108333,74.00416667,183.4731667,175.8773333,174.4356667,173.5455,74.19233333
18,1936,183.4591667,175.9391667,174.3933333,173.4883333,74.16416667,183.4963333,175.932,174.4641667,173.5783333,74.24166667
19,1937,183.4541667,175.9225,174.6033333,173.82,74.49583333,183.5078333,176.0325,174.5535,173.6811667,74.33583333
20,1938,183.5608333,176.1408333,174.6891667,173.8408333,74.5225,183.4823333,176.0826667,174.6103333,173.758,74.42016667
21,1939,183.555,176.2691667,174.7208333,173.8458333,74.4925,183.4788333,176.1191667,174.648,173.8003333,74.46883333
22,1940,183.3825,176.1416667,174.645,173.795,74.42583333,183.4966667,176.2015,174.6808333,173.8116667,74.473
23,1941,183.4416667,176.1216667,174.5816667,173.7,74.4075,183.506,176.2986667,174.7655,173.8898333,74.59533333
24,1942,183.5433333,176.3341667,174.7675,173.8766667,74.51666667,183.4963333,176.3641667,174.8176667,173.939,74.666
25,1943,183.6075,176.6266667,175.1125,174.2316667,75.13416667,183.5281667,176.4498333,174.9065,174.0176667,74.79283333
26,1944,183.5066667,176.5966667,174.9816667,174.0916667,74.84583333,183.544,176.5458333,174.9978333,174.1048333,74.91
27,1945,183.5416667,176.57,175.0891667,174.1883333,75.06,183.5453333,176.5923333,175.0651667,174.1765,75.0405
28,1946,183.5208333,176.6016667,175.0383333,174.1358333,74.99333333,183.5025,176.5731667,175.0621667,174.1743333,75.02983333
29,1947,183.55,176.5666667,175.1041667,174.235,75.16916667,183.4898333,176.496,175.0321667,174.1506667,75.00883333
30,1948,183.3933333,176.5308333,175.0975,174.2208333,75.08083333,183.508,176.4341667,175.0003333,174.14,74.97516667
31,1949,183.4433333,176.2108333,174.8316667,173.9733333,74.74083333,183.544,176.461,175.0408333,174.1776667,75.02583333
32,1950,183.6325,176.2608333,174.93,174.135,74.89166667,183.5591667,176.5646667,175.1198333,174.2346667,75.06516667
33,1951,183.7008333,176.7358333,175.2408333,174.3241667,75.24666667,183.5766667,176.6451667,175.165,174.2566667,75.052
34,1952,183.6258333,177.085,175.4991667,174.52,75.36583333,183.5701667,176.7688333,175.2456667,174.3196667,75.10016667
35,1953,183.4808333,176.9333333,175.3233333,174.3308333,75.015,183.5123333,176.8611667,175.31,174.3623333,75.151
36,1954,183.4108333,176.8291667,175.235,174.2883333,74.98166667,183.4371667,176.802,175.2496667,174.3215,75.086
37,1955,183.3433333,176.7225,175.2516667,174.3483333,75.14583333,183.3753333,176.6376667,175.1258333,174.2248333,74.9395
38,1956,183.325,176.44,174.9391667,174.12,74.92166667,183.3401667,176.4645,174.987,174.1203333,74.82216667
39,1957,183.3166667,176.2633333,174.88,174.0366667,74.63333333,183.338,176.2998333,174.8713333,174.0326667,74.72083333
40,1958,183.305,176.0675,174.6291667,173.8083333,74.42833333,183.3525,176.2508333,174.819,173.9818333,74.63416667
41,1959,183.4,176.0058333,174.6566667,173.85,74.475,183.3498333,176.2381667,174.8238333,173.978,74.5725
42,1960,183.4158333,176.4775,174.99,174.0941667,74.7125,183.3475,176.23,174.8018333,173.9521667,74.57416667
43,1961,183.3116667,176.3766667,174.9633333,174.1008333,74.61333333,183.3458333,176.201,174.788,173.9358333,74.6195
44,1962,183.305,176.2225,174.77,173.9075,74.64166667,183.3341667,176.1363333,174.7296667,173.8873333,74.58183333
45,1963,183.2966667,175.9225,174.56,173.7266667,74.655,183.3185,176.024,174.6383333,173.811,74.5185
46,1964,183.3416667,175.6825,174.365,173.6075,74.28666667,183.3358333,175.9808333,174.597,173.7706667,74.53383333
47,1965,183.3375,175.9158333,174.5333333,173.7125,74.39583333,183.3518333,175.9965,174.628,173.801,74.57716667
48,1966,183.3983333,176.1608333,174.7566667,173.8991667,74.69,183.3905,176.1013333,174.7281667,173.8965,74.606
49,1967,183.385,176.3008333,174.925,174.0591667,74.85833333,183.4243333,176.304,174.9075,174.053,74.6985
50,1968,183.49,176.4466667,175.0608333,174.2041667,74.79916667,183.447,176.4565,175.0308333,174.1621667,74.7565
51,1969,183.5108333,176.6958333,175.2616667,174.39,74.74916667,183.4838333,176.5853333,175.1333333,174.2446667,74.76316667
52,1970,183.4508333,176.6783333,175.15,174.2583333,74.68583333,183.5175,176.7028333,175.2325,174.3328333,74.7785
53,1971,183.5825,176.805,175.2691667,174.3116667,74.72333333,183.5386667,176.8381667,175.3503333,174.4401667,74.86066667
54,1972,183.5533333,176.8883333,175.4208333,174.5,74.935,183.5595,176.9176667,175.4206667,174.5,74.924
55,1973,183.5958333,177.1233333,175.65,174.7408333,75.21,183.5881667,176.9766667,175.4938333,174.5715,74.94883333
56,1974,183.615,177.0933333,175.6133333,174.6891667,75.06583333,183.5685,176.9955,175.5356667,174.6238333,75.013
57,1975,183.5941667,176.9733333,175.5158333,174.6158333,74.81,183.5311667,176.9188333,175.4913333,174.5833333,74.97766667
58,1976,183.4841667,176.8991667,175.4783333,174.5733333,75.04416667,183.4996667,176.8123333,175.4155,174.5096667,74.91983333
59,1977,183.3666667,176.505,175.1991667,174.2975,74.75833333,183.4755,176.7525,175.364,174.4501667,74.87466667
60,1978,183.4383333,176.5908333,175.2708333,174.3725,74.92083333,183.4438333,176.7185,175.3423333,174.4313333,74.87733333
61,1979,183.4941667,176.7941667,175.3558333,174.3916667,74.84,183.419,176.6783333,175.3058333,174.3963333,74.82566667
