Dam,Year,ChinookAdult,ChinookJack,CohoAdult,CohoJack,Steelhead,UnclippedSteelhead,Sockeye,Pink,Chum,Lamprey,Shad
BON,1938,271799,0,15174,0,107003,0,75029,0,2114,0,0
BON,1939,286156,0,14383,0,121932,0,73382,0,1147,0,0
BON,1940,391573,0,11870,0,185161,0,148805,0,1729,0,0
BON,1941,461443,0,17911,0,118087,0,65741,4,5269,0,0
BON,1942,401998,0,12401,0,151395,0,55474,11,1865,0,0
BON,1943,313120,0,2547,0,92151,0,39845,0,778,0,0
BON,1944,240763,0,4207,0,100473,0,15071,1,953,0,0
BON,1945,297488,0,791,0,120086,0,9501,1,727,0,0
BON,1946,446152,0,3899,0,142806,0,74375,2,1176,75405,20279
BON,1947,480276,0,11174,0,135434,0,171139,3,193,96848,25818
BON,1948,420555,0,4081,0,139062,0,131541,2,3571,143815,8421
BON,1949,277697,0,1003,0,119285,0,51444,6,2018,57928,22579
BON,1950,357375,0,10151,0,114087,0,77993,8,1069,32693,7923
BON,1951,331788,0,5201,0,149539,0,169428,7,1044,45110,8353
BON,1952,420879,0,7768,0,260990,0,184646,9,1504,26203,3131
BON,1953,332479,0,13018,0,223914,0,235215,10,1728,47129,16430
BON,1954,320947,0,4062,0,176260,0,130107,4,1569,40986,5029
BON,1955,359853,0,3725,0,198411,0,237748,9,313,42603,5808
BON,1956,300917,0,6127,0,131116,0,156418,4,693,49911,8085
BON,1957,403286,0,4675,0,139184,0,82915,12,562,53031,13159
BON,1958,416419,0,3673,0,131347,0,122389,6,455,98519,10201
BON,1959,345028,0,2573,0,129026,0,86560,22,900,215083,6720
BON,1960,256049,0,3268,0,113676,0,59713,0,1017,177898,93368
BON,1961,281980,0,3456,0,139726,0,17111,12,896,364805,265697
BON,1962,286625,0,14788,0,164025,0,28179,27,1013,101426,435988
BON,1963,278560,0,12658,0,129418,0,60319,34,740,87937,389772
BON,1964,344422,0,53602,0,117252,0,99853,45,632,104328,252674
