Dam,Year,ChinookAdult,ChinookJack,CohoAdult,CohoJack,Steelhead,UnclippedSteelhead,Sockeye,Pink,Chum,Lamprey,Shad
IHR,1962,94301,0,3207,0,115796,0,38,0,0,36863,253
IHR,1963,61190,0,1933,0,74539,0,1118,0,0,0,0
IHR,1964,60097,0,2071,0,58860,0,1276,0,0,0,0
IHR,1965,39233,0,320,0,62873,0,317,0,0,0,0
IHR,1966,75882,0,878,0,65798,0,278,0,0,0,0
IHR,1967,84930,0,3770,0,44205,0,717,0,0,4848,6471
IHR,1968,98681,0,6227,0,82383,0,1165,0,0,6676,604
IHR,1969,100514,0,5316,0,63889,0,745,0,0,5548,442
IHR,1970,77748,0,3636,0,53888,0,797,0,0,0,395
IHR,1971,70248,0,2969,0,67028,0,532,0,2,0,134
IHR,1972,82632,0,2522,0,63593,0,363,0,6,0,1268
IHR,1973,81821,0,2443,0,38311,0,233,0,4,0,11412
IHR,1974,32444,0,1334,0,12528,0,204,0,2,0,603
IHR,1975,31686,0,1559,0,16218,0,243,0,0,0,3483
IHR,1976,36556,0,1991,0,23885,0,771,0,0,0,5294
IHR,1977,56514,0,1561,0,54820,0,582,0,0,0,41192
IHR,1978,61352,0,652,0,27142,0,86,0,0,0,16278
IHR,1979,13929,0,398,0,23117,0,30,0,0,0,10489
IHR,1980,11783,2934,50,8,50221,0,36,0,0,0,2857
IHR,1981,19681,2411,25,57,41290,0,142,0,0,0,5048
IHR,1982,20133,2513,158,190,73405,0,174,0,0,0,19337
IHR,1983,18281,1978,221,244,88485,0,216,0,0,0,13942
IHR,1984,15274,2694,17,5,93891,0,105,0,0,0,8504
IHR,1985,37407,10574,8,2,128477,0,24,0,0,0,8120
IHR,1986,48159,4455,0,0,144292,0,20,0,0,0,5403
IHR,1987,44670,2807,0,0,74491,0,13,0,0,0,8209
IHR,1988,44556,3510,0,0,99714,0,22,0,0,0,112081
IHR,1989,23467,3767,0,0,151101,0,4,0,0,0,119199
IHR,1990,29612,2229,1,0,54758,0,1,0,0,0,90164
IHR,1991,19385,3790,1,0,123762,0,9,15,0,0,58565
IHR,1992,34089,1932,0,0,160614,0,33,0,0,0,171607
IHR,1993,34318,673,1,0,73107,0,17,0,1,0,48801
IHR,1994,6407,1170,1,0,51704,8265,0,0,0,0,32728
IHR,1995,4993,2997,4,0,92026,7999,5,0,0,0,22226
IHR,1996,13060,3315,0,0,97250,9995,1,0,0,0,12952
IHR,1997,53361,2051,127,1,103830,10324,15,0,0,0,5434
IHR,1998,22127,3925,11,4,77644,11050,3,0,0,0,14296
IHR,1999,15783,7457,120,6,80267,13217,8,0,0,340,32578
IHR,2000,49515,22532,942,200,120256,22996,215,0,0,315,70685
IHR,2001,199959,15593,1286,74,255720,46257,38,0,0,203,287874
IHR,2002,127062,10342,199,32,202173,51308,61,0,0,1127,81373
IHR,2003,120042,23287,1362,69,191675,47329,37,12,0,1702,245805
IHR,2004,111080,18826,3474,47,171658,41036,91,0,0,801,365493
IHR,2005,51543,6818,1601,20,156920,35611,18,0,0,461,281114
IHR,2006,44246,8255,897,74,124812,27696,48,0,0,277,213229
IHR,2007,49471,19635,1994,153,157620,32052,55,0,0,290,202740
IHR,2008,98742,24265,2889,114,172453,42015,539,0,0,264,119312
IHR,2009,104115,76234,4947,489,328105,76434,867,0,0,57,79496
IHR,2010,177312,21780,1521,214,206959,58743,1302,0,0,114,70853
IHR,2011,127469,50117,5914,813,198805,49394,1141,38,0,269,37409
IHR,2012,124685,25940,2653,332,105269,27530,453,3,0,484,175936
IHR,2013,108072,44102,2130,400,116162,32756,895,1,0,328,193525
IHR,2014,158120,34846,15330,747,151966,44365,2392,0,0,721,90790
IHR,2015,200848,18560,1307,185,128521,35078,1052,0,0,764,220757
IHR,2016,118177,19633,1997,144,94473,22586,898,0,0,875,264827
IHR,2017,63983,14093,5328,409,61961,13073,392,1,0,1438,368693
IHR,2018,55388,7456,1310,270,48262,10837,382,0,0,1019,807491
IHR,2019,43082,9963,6426,372,31824,11212,320,0,0,271,527068
At Ice Harbor Dam for the year 2019, the start date is 01/01/2019 and the end date is 10/31/2019.
This file contains adult salmon annual totals dam count data for the requested time period of: 1962 to 2019 for Ice Harbor Dam.
