Dam,Year,ChinookAdult,ChinookJack,CohoAdult,CohoJack,Steelhead,UnclippedSteelhead,Sockeye,Pink,Chum,Lamprey,Shad
JDA,1968,233654,0,38233,0,121256,0,87847,1,0,21669,123126
JDA,1969,276045,0,13589,0,86034,0,39847,1,0,52314,175075
JDA,1970,222488,0,19543,0,82440,0,78133,0,2,0,224162
JDA,1971,193881,0,40830,0,115977,0,72232,0,0,0,104034
JDA,1972,225631,0,17533,0,141628,0,51793,0,0,0,142805
JDA,1973,249492,0,13359,0,101440,0,64744,8,1,0,419876
JDA,1974,167888,0,14651,0,43756,0,33121,1,0,0,141066
JDA,1975,159079,0,6305,0,32651,0,50774,45,0,0,196199
JDA,1976,175910,0,5806,0,59808,0,30446,6,1,0,193000
JDA,1977,194931,0,1123,0,102558,0,85701,3,0,0,476407
JDA,1978,174852,0,8355,0,44188,0,13778,0,0,0,629005
JDA,1979,118154,0,5061,0,55877,0,43630,6,0,0,646187
JDA,1980,74787,25877,1016,908,78199,0,50675,0,0,0,638037
JDA,1981,79812,34547,943,1619,95280,0,46146,0,0,0,527678
JDA,1982,87116,56966,2525,1538,108603,0,37970,0,0,0,514861
JDA,1983,96390,43316,933,707,154697,0,89810,0,0,0,1172587
JDA,1984,118629,70241,1286,779,199811,0,109815,0,0,0,586015
JDA,1985,188334,149288,791,861,247093,0,124941,0,0,0,682344
JDA,1986,212873,133827,1029,904,238010,0,46327,0,0,0,609363
JDA,1987,273958,53794,2110,1245,170654,0,75529,0,0,0,748767
JDA,1988,225915,51330,4243,2570,164650,0,48095,0,0,0,908741
JDA,1989,183162,25092,6051,3612,193460,0,39374,0,0,0,1773938
JDA,1990,134118,22195,1521,1502,107849,0,42077,0,0,0,1641943
JDA,1991,90275,28646,6692,1329,160257,0,63760,1,0,0,1382009
JDA,1992,109941,22084,1710,923,195194,0,69731,0,0,0,1963060
JDA,1993,132084,9621,2679,316,95642,0,61218,0,0,0,647097
JDA,1994,107778,18867,2455,387,93075,17333,11170,0,0,0,935958
JDA,1995,83085,24192,1913,204,123246,18269,8667,0,0,0,1033727
JDA,1996,118531,12071,3289,990,156002,23157,25698,0,0,0,959262
JDA,1997,169566,15674,3518,711,157038,21513,35830,0,0,0,1007896
JDA,1998,116283,13745,7646,851,158547,30456,9837,0,0,0,1025044
JDA,1999,143671,19611,11901,1331,165314,41338,14809,1,0,9872,763007
JDA,2000,212479,56892,20565,3404,220328,56798,88372,0,0,5862,851598
JDA,2001,453110,57877,48870,2311,483409,112335,107869,0,0,4005,1796826
JDA,2002,410161,37568,7669,1603,390300,112755,41915,0,0,26821,1850942
JDA,2003,417660,54680,34609,4156,305042,88078,35417,18,4,20922,2735108
JDA,2004,400183,47708,33365,2157,233431,70056,113497,0,0,11663,0
JDA,2005,300117,22874,32871,3334,232103,66287,69770,12,0,8312,0
JDA,2006,261654,28507,33464,4910,231355,55305,35387,3,1,9600,0
JDA,2007,154227,61654,33206,6215,237517,63053,24277,0,0,5753,0
JDA,2008,282164,60788,39975,4923,277162,82851,193409,2,0,6625,0
JDA,2009,287864,164110,64893,6846,581645,163259,157402,-1,0,2044,0
JDA,2010,464745,69502,21506,1766,283812,103991,324128,0,0,1662,0
JDA,2011,359180,138591,62795,2873,257345,89873,143605,698,0,3566,0
JDA,2012,335443,108693,30216,3643,162083,61631,394166,15,0,4587,0
JDA,2013,571719,138430,16718,1421,155742,66072,155498,64,12,6670,0
JDA,2014,649768,116450,107853,7988,203236,78691,557531,0,0,8576,0
JDA,2015,808762,82816,18762,3066,179506,64512,366364,10,0,8370,0
JDA,2016,451364,55724,17019,2616,130626,37823,289976,2,0,9769,0
JDA,2017,272617,41269,29080,5166,83253,24918,66041,1,0,23404,0
JDA,2018,201411,28449,16859,2943,73352,23603,168469,0,0,8542,0
JDA,2019,211671,38306,29865,4252,51086,24500,52526,4,0,4589,0
At John Day Dam for the year 2019, the start date is 01/01/2019 and the end date is 10/31/2019.
This file contains adult salmon annual totals dam count data for the requested time period of: 1968 to 2019 for John Day Dam.
