Dam,Year,ChinookAdult,ChinookJack,CohoAdult,CohoJack,Steelhead,UnclippedSteelhead,Sockeye,Pink,Chum,Lamprey,Shad
LGS,1970,73471,0,2480,0,59640,0,163,0,0,0,0
LGS,1971,61402,0,2701,0,70013,0,891,0,0,0,0
LGS,1972,64211,0,799,0,63638,0,408,0,0,0,0
LGS,1973,70605,0,1157,0,38820,0,192,0,0,0,27
LGS,1974,26787,0,532,0,14784,0,124,0,0,0,1
LGS,1975,26960,0,697,0,15225,0,173,12,0,0,0
LGS,1976,32359,0,733,0,20894,0,644,2,0,0,1
LGS,1977,49176,0,438,0,47388,0,574,0,0,0,10
LGS,1978,56069,0,307,0,24927,0,168,0,0,0,2
LGS,1979,12515,0,390,0,21049,0,72,0,0,0,121
LGS,1980,8828,1772,89,35,38627,0,88,0,0,0,614
LGS,1981,17141,1945,8,112,38680,0,200,0,0,0,84
LGS,1991,11347,2380,1,0,98828,0,10,13,0,0,3889
LGS,1992,25551,1195,0,0,117698,0,12,0,0,0,72629
LGS,1993,31794,590,0,0,59740,0,16,0,0,0,3938
LGS,1994,4981,476,0,0,45815,8422,44,0,0,0,10066
LGS,1995,3650,1411,8,1,77744,8352,17,0,0,0,1478
LGS,1996,10252,3286,0,0,82203,9611,1,0,0,0,715
LGS,1997,48865,799,53,6,74219,6222,10,0,0,0,533
LGS,1998,16842,2956,1,0,63753,8569,5,0,0,0,2330
LGS,1999,10914,6321,85,4,65471,9816,16,0,0,37,7412
LGS,2000,42121,20765,313,0,101030,16138,296,0,0,71,20185
LGS,2001,201586,12782,490,50,232669,44150,72,0,0,104,63102
LGS,2002,111064,8365,109,24,215251,56020,38,0,0,365,15171
LGS,2003,97622,17280,785,80,176169,46870,23,4,1,660,56834
LGS,2004,89984,11025,2911,131,151410,35316,81,0,0,241,0
LGS,2005,42393,4160,1913,79,143537,31157,13,0,0,211,0
LGS,2006,38266,6429,938,34,124440,24681,26,1,0,125,0
LGS,2007,42278,18120,1963,178,135414,23905,37,0,0,72,0
LGS,2008,90279,18674,3440,366,168105,38997,594,0,0,104,0
LGS,2009,96102,67460,4548,691,305436,61827,1061,0,0,34,0
LGS,2010,168539,20912,1727,281,193891,56242,1658,0,0,29,0
LGS,2011,138454,58970,4445,406,175328,45674,1436,12,0,80,0
LGS,2012,117838,24281,2402,260,98278,28250,453,0,0,88,0
LGS,2013,100382,49060,1727,409,95871,29587,996,0,0,33,0
LGS,2014,147578,37789,17917,3551,144980,42848,2811,0,0,115,0
LGS,2015,179092,23579,1671,315,126271,33436,587,0,0,58,0
LGS,2016,109365,19793,1903,615,95404,21974,962,0,0,192,0
LGS,2017,60789,16282,6810,1081,59259,11919,288,1,0,472,0
LGS,2018,56434,7469,1434,318,45584,10546,280,0,0,61,0
LGS,2019,42665,10564,5428,1578,29066,10053,84,-1,0,45,0
At Little Goose Dam for the year 2019, the start date is 04/01/2019 and the end date is 10/31/2019.
This file contains adult salmon annual totals dam count data for the requested time period of: 1970 to 2019 for Little Goose Dam.
