Dam,Year,ChinookAdult,ChinookJack,CohoAdult,CohoJack,Steelhead,UnclippedSteelhead,Sockeye,Pink,Chum,Lamprey,Shad
MCN,1954,126555,0,949,0,73455,0,108181,0,1,938,0
MCN,1955,108915,0,643,0,85575,0,173758,0,0,556,0
MCN,1956,114342,0,683,0,42564,0,102145,0,0,970,4
MCN,1957,292696,0,2855,0,105684,0,85460,0,0,2748,636
MCN,1958,226092,0,1350,0,87872,0,102397,0,0,10565,48
MCN,1959,171490,0,1970,0,110475,0,83977,0,0,19807,17
MCN,1960,176767,0,1580,0,96795,0,55372,0,0,13960,1147
MCN,1961,154996,0,2045,0,103743,0,16388,0,0,26119,1612
MCN,1962,152766,0,3195,0,163181,0,29372,0,0,14027,12847
MCN,1963,154461,0,3113,0,113646,0,59744,0,0,9965,9015
MCN,1964,167934,0,3317,0,100742,0,83931,0,0,6173,14494
MCN,1965,150907,0,2700,0,118960,0,42052,0,0,7362,39810
MCN,1966,223141,0,8525,0,145130,0,173028,0,0,5410,100483
MCN,1967,195633,0,27226,0,77700,0,105640,0,0,1516,25666
MCN,1968,200688,0,39518,0,112522,0,100997,0,0,1578,26287
MCN,1969,213407,0,53716,0,76681,0,29787,0,0,3069,89402
MCN,1970,168892,0,36399,0,69759,0,59636,0,0,0,108350
MCN,1971,171448,0,39358,0,109630,0,52867,0,0,0,41842
MCN,1972,168821,0,45635,0,93820,0,26422,0,0,0,54176
MCN,1973,184112,0,17682,0,64620,0,42731,0,0,0,318377
MCN,1974,127858,0,13746,0,26932,0,26505,0,0,0,58043
MCN,1975,133150,0,3975,0,22663,0,43143,0,0,0,107583
MCN,1976,163314,0,7539,0,54000,0,24632,0,1,0,70694
MCN,1977,183581,0,4622,0,87712,0,80781,0,0,0,432749
MCN,1978,144148,0,20356,0,34740,0,18511,0,0,0,380727
MCN,1979,95275,0,12800,0,50304,0,37792,0,6,0,361024
MCN,1980,63209,17564,306,263,66524,0,44301,0,0,0,275223
MCN,1981,63427,17192,1725,2011,61985,0,26644,0,0,0,193373
MCN,1982,69246,32979,1356,1763,75099,0,15077,0,0,0,117862
MCN,1983,91734,29904,819,1651,125254,0,40903,0,0,0,417131
MCN,1984,102675,56378,897,1926,135306,0,56894,0,0,0,281793
MCN,1985,167514,120969,2784,4133,188204,0,98457,0,0,0,438329
MCN,1986,209457,132936,803,576,193481,0,46443,0,0,0,307361
MCN,1987,235916,50724,335,282,148811,0,72180,0,0,0,575338
MCN,1988,184870,58718,1111,899,151664,0,50080,0,0,0,665925
MCN,1989,151499,24908,1925,1458,170467,0,41318,0,0,0,1076473
MCN,1990,121159,26280,1054,1005,95061,0,46145,0,0,0,866940
MCN,1991,82710,32131,1609,663,168962,0,69365,134,10,0,674483
MCN,1992,111723,23984,1196,605,194026,0,68737,2,0,0,1635089
MCN,1993,133097,10315,360,121,93183,0,66485,0,4,0,701404
MCN,1994,107889,20979,1347,388,94427,17202,10603,0,0,0,668528
MCN,1995,84692,28662,914,107,114910,14403,8320,1,0,0,481081
MCN,1996,101616,13331,1281,572,124177,16733,28585,0,0,0,352755
MCN,1997,145958,16988,2261,319,129817,16707,38043,0,0,0,340090
MCN,1998,99432,15172,5959,214,99705,17859,9391,0,0,0,393305
MCN,1999,106891,15055,4736,198,84088,17711,11884,0,0,1050,248895
MCN,2000,152763,38468,10147,1005,130332,31173,60242,0,0,1281,350457
MCN,2001,437120,52664,22918,1812,398784,94384,97188,0,0,2539,1063568
MCN,2002,380976,36114,2144,1048,286805,81439,39424,0,0,11282,599294
MCN,2003,370865,52498,18458,1773,246898,72141,32037,51,1,13325,1077670
MCN,2004,343677,40721,19258,1129,212177,59715,89707,0,0,5888,1751728
MCN,2005,250459,19544,19372,1228,224292,58626,63540,0,0,4158,1951001
MCN,2006,199432,19759,12735,1188,206155,46865,29295,0,0,2456,1176899
MCN,2007,130532,49903,20430,2395,221534,54074,18175,0,0,3454,985466
MCN,2008,224684,43295,18756,3050,221310,58748,146924,5,0,1530,623010
MCN,2009,232380,126502,34089,3965,410082,109386,121672,8,0,676,486725
MCN,2010,417747,44681,13673,1416,262513,89504,278799,0,0,825,276673
MCN,2011,338058,102370,42220,2084,246097,76573,113952,505,0,868,224905
MCN,2012,341652,63550,17368,1433,157018,53026,364147,0,0,970,675421
MCN,2013,582908,91454,12128,1753,144354,55618,134202,34,0,1570,1246494
MCN,2014,605907,109165,98553,14034,209772,75128,546012,0,0,1783,937826
MCN,2015,751407,71109,16523,3378,177137,59834,279744,11,0,1748,999552
MCN,2016,410876,38745,10899,1114,118763,32405,261696,0,0,1612,1003755
MCN,2017,258498,24237,21996,1611,82472,23243,58022,30,0,2549,1610612
MCN,2018,187877,19630,12138,1786,66332,20392,155480,3,0,1566,3871859
MCN,2019,198423,30528,25503,2642,47510,21197,51561,2,0,1005,3051348
At McNary Dam for the year 2019, the start date is 04/01/2019 and the end date is 10/31/2019.
This file contains adult salmon annual totals dam count data for the requested time period of: 1954 to 2019 for McNary Dam.
