Dam,Year,ChinookAdult,ChinookJack,CohoAdult,CohoJack,Steelhead,UnclippedSteelhead,Sockeye,Pink,Chum,Lamprey,Shad
PRD,1962,31059,7845,0,0,9334,0,28575,0,0,0,0
PRD,1963,20938,22743,0,0,9274,0,64751,0,0,0,0
PRD,1964,32724,18238,0,0,5999,0,79387,0,0,0,0
PRD,1965,27601,24202,0,0,9041,0,48356,0,0,0,0
PRD,1966,43079,18836,0,0,13006,0,170071,0,0,0,0
PRD,1967,33078,15840,0,0,7354,0,123786,0,0,0,0
PRD,1968,35004,13319,0,0,10523,0,108308,0,0,0,0
PRD,1969,26859,14027,0,0,6650,0,39240,0,0,0,0
PRD,1970,25139,18673,0,0,5558,0,77419,0,0,0,0
PRD,1971,28971,7187,0,0,11102,0,73837,0,0,0,0
PRD,1972,26456,6184,0,0,6429,0,44927,0,0,0,0
PRD,1973,26031,8370,0,0,6999,0,54480,0,0,0,0
PRD,1974,28764,3684,0,0,3089,0,35436,0,0,0,0
PRD,1975,30971,12769,0,0,2462,0,55209,0,0,0,0
PRD,1976,34154,9265,0,0,9248,0,32810,0,0,0,0
PRD,1977,40843,6835,372,0,9812,0,95423,0,0,0,0
PRD,1978,46590,3940,597,0,4545,0,17731,0,0,0,0
PRD,1979,32565,5601,311,0,8409,0,45759,0,0,0,20196
PRD,1980,30557,7728,150,168,8524,0,52039,0,0,0,23701
PRD,1981,29929,2671,130,298,8983,0,51460,0,0,0,20857
PRD,1982,26183,5888,1269,539,11037,0,40451,0,0,0,17320
PRD,1983,26530,3787,315,185,31730,0,90008,0,0,0,95820
PRD,1984,36132,6568,125,47,26076,0,113761,0,0,0,21923
PRD,1985,51096,11063,151,68,34701,0,118541,0,0,0,44267
PRD,1986,56776,11727,74,28,22396,0,43078,0,0,0,32445
PRD,1987,67633,5522,56,52,14265,0,76577,0,0,0,34926
PRD,1988,48668,5274,50,12,10208,0,51135,0,0,0,31853
PRD,1989,46135,3092,31,2,10667,0,45300,0,0,0,30847
PRD,1990,33890,2398,28,3,7830,0,46331,0,0,0,23602
PRD,1991,27249,4235,15,7,14027,0,71245,0,0,0,27638
PRD,1992,32466,5286,1,0,13733,0,80857,0,0,0,121553
PRD,1993,52863,1703,1,0,5493,0,82924,0,0,0,15443
PRD,1994,29813,3098,0,0,6707,0,12395,0,0,0,19613
PRD,1995,26565,3991,3,0,4357,0,9186,0,0,0,20583
PRD,1996,25982,1283,5,1,8377,0,29453,0,0,0,10267
PRD,1997,31261,1989,19,3,9536,0,47904,0,0,0,11155
PRD,1998,27173,2242,18,1,5837,0,10769,0,0,0,8078
PRD,1999,49244,2227,47,4,7551,0,15186,0,0,0,4023
PRD,2000,68993,8962,302,32,10055,0,70802,0,0,0,2199
PRD,2001,127080,10668,10140,1046,29963,0,108656,0,0,1624,4238
PRD,2002,157231,4279,1143,412,15895,0,47883,0,0,4007,4836
PRD,2003,149586,10847,4803,413,17652,0,36551,0,0,4339,7067
PRD,2004,124094,10526,4830,794,18727,0,124943,0,0,2647,10589
PRD,2005,106664,2765,1173,87,12472,0,74563,0,0,2598,10254
PRD,2006,84621,2464,3205,608,10410,0,26710,0,0,4381,281
PRD,2007,60002,5960,11488,822,15183,0,24645,0,0,6593,1015
PRD,2008,85364,18636,5592,430,16725,0,196835,0,0,5083,340
PRD,2009,103711,10426,10884,409,40093,0,153466,0,0,2714,295
PRD,2010,118418,6025,2389,266,26476,0,357058,0,0,1114,1815
PRD,2011,101147,15767,22098,1294,20757,0,145070,0,0,3868,271
PRD,2012,124987,13500,8381,1577,17230,0,408258,0,0,4025,1939
PRD,2013,348732,22994,3543,478,15011,0,163079,0,0,5968,21586
PRD,2014,222858,19897,34532,2153,19843,0,608142,0,0,7586,8179
PRD,2015,195156,10947,4411,625,14316,0,301272,0,0,6749,17043
PRD,2016,138440,9337,1781,206,6498,0,311072,0,0,8139,11361
PRD,2017,91797,4858,8120,599,5804,0,66670,0,0,26012,8090
PRD,2018,65463,5351,4870,332,4918,0,189884,0,0,11758,79326
PRD,2019,72017,6781,8176,528,3924,0,45231,0,0,3276,10
At Priest Rapids Dam for the year 2019, the start date is 04/15/2019 and the end date is 11/15/2019.
This file contains adult salmon annual totals dam count data for the requested time period of: 1962 to 2019 for Priest Rapids Dam.
