Dam,Year,ChinookAdult,ChinookJack,CohoAdult,CohoJack,Steelhead,UnclippedSteelhead,Sockeye,Pink,Chum,Lamprey,Shad
RIS,1977,34390,13069,519,0,9925,0,90261,0,0,0,0
RIS,1978,40271,5842,1229,0,3254,0,14936,0,0,0,0
RIS,1979,27889,7396,465,0,7325,0,50583,0,0,0,0
RIS,1980,22840,4056,784,0,7016,0,52657,0,0,0,0
RIS,1981,18294,2514,827,0,7565,0,47139,0,0,0,0
RIS,1982,16536,6984,1624,0,10150,0,41111,0,0,0,0
RIS,1983,18399,5209,260,0,29666,0,86424,0,0,0,0
RIS,1984,28599,8274,1426,0,24803,0,109092,0,0,0,0
RIS,1985,45992,9423,1093,0,31995,0,103200,0,0,0,0
RIS,1986,43747,6723,476,0,22867,0,49788,0,0,0,0
RIS,1987,46004,5454,1404,0,12706,0,69868,0,0,0,0
RIS,1988,38373,4933,722,0,9358,0,49177,0,0,0,0
RIS,1989,35041,2591,287,0,9351,0,37360,0,0,0,0
RIS,1990,24323,2876,109,0,6936,0,44143,0,0,0,0
RIS,1991,18133,3385,152,1,11018,0,62118,0,0,0,0
RIS,1992,25176,4747,49,0,12480,0,68359,0,0,0,0
RIS,1993,36118,1079,6,0,4831,0,65630,0,0,0,0
RIS,1994,21065,3195,14,0,5618,0,10976,0,0,0,0
RIS,1995,16891,4680,0,0,4175,0,9462,0,0,0,0
RIS,1996,15873,2211,0,0,7305,0,29500,0,0,0,0
RIS,1997,20066,1449,0,0,7529,0,40375,0,0,0,0
RIS,1998,17831,2044,9,0,4859,0,9367,0,0,0,0
RIS,1999,29488,3310,12,0,6361,1743,18371,0,0,0,0
RIS,2000,44364,16614,2014,0,10510,4420,76512,0,0,822,0
RIS,2001,101805,21080,10465,0,28299,16059,104840,0,0,1428,0
RIS,2002,125366,5135,1750,1,15291,10353,44320,0,0,4878,0
RIS,2003,120228,11939,5869,0,17509,11456,34779,0,0,5000,0
RIS,2004,89911,7854,5982,0,19547,14191,106666,0,0,2362,0
RIS,2005,77196,3746,6580,0,12409,6446,71226,0,0,2267,0
RIS,2006,77601,4176,5597,0,9382,4090,35132,0,0,1326,0
RIS,2007,37685,9974,16604,548,13296,5631,25122,0,0,1300,0
RIS,2008,60056,8019,6736,1657,16288,6194,193739,0,0,880,0
RIS,2009,69971,17449,19805,2100,37800,12095,162830,0,0,375,0
RIS,2010,88355,8315,6209,1486,22179,10504,338310,0,0,318,0
RIS,2011,66374,28116,30341,704,19024,8554,146111,0,0,886,0
RIS,2012,83167,9683,8115,162,15457,6510,410620,0,0,1048,0
RIS,2013,139115,19138,2361,252,11501,6062,159219,0,0,2157,0
RIS,2014,128423,16681,47345,242,15037,7116,581121,35,0,2451,80
RIS,2015,161452,6551,4360,139,14041,5980,264678,0,0,2165,0
RIS,2016,116070,6207,2359,130,7166,2540,310341,0,0,3939,0
RIS,2017,78749,3321,13090,110,5265,2374,73218,0,0,21137,0
RIS,2018,56028,3913,7736,655,5229,2133,172009,0,0,4998,4
RIS,2019,62572,3415,12907,687,4360,2539,58562,2,0,1067,0
At Rock Island Dam for the year 2019, the start date is 04/14/2019 and the end date is 12/13/2019.
This file contains adult salmon annual totals dam count data for the requested time period of: 1977 to 2019 for Rock Island Dam.
