Dam,Year,ChinookAdult,ChinookJack,CohoAdult,CohoJack,Steelhead,UnclippedSteelhead,Sockeye,Pink,Chum,Lamprey,Shad
RRH,1977,17516,8389,927,0,7416,0,25648,0,0,0,0
RRH,1978,16298,3247,1438,0,2353,0,8349,0,0,0,0
RRH,1979,11315,3576,244,0,4804,0,28945,0,0,0,0
RRH,1980,8024,2127,713,0,4295,0,29906,0,0,0,0
RRH,1981,8820,1449,522,0,5524,0,30649,0,0,0,0
RRH,1982,6315,2881,938,0,6241,0,17379,0,0,0,0
RRH,1983,7275,1744,237,0,19698,0,26079,0,0,0,0
RRH,1984,11457,3147,923,0,17228,0,73290,0,0,0,0
RRH,1985,16836,3993,584,0,22690,0,54077,0,0,0,0
RRH,1986,12896,2455,456,0,15193,0,32908,0,0,0,0
RRH,1987,13927,1804,927,0,7172,0,41115,0,0,0,0
RRH,1988,11511,1749,306,0,5678,0,34089,0,0,0,0
RRH,1989,12258,837,150,0,6119,0,16175,0,0,0,0
RRH,1990,7907,1144,62,0,5014,0,9296,0,0,0,0
RRH,1991,5553,1124,38,0,7732,0,27440,0,0,0,0
RRH,1992,6230,2153,74,0,7516,0,41804,0,0,0,0
RRH,1993,10791,503,4,0,2816,0,28319,0,0,0,0
RRH,1994,10572,1445,3,0,2823,0,1662,0,0,0,0
RRH,1995,8388,1226,0,0,1758,0,4988,0,0,0,0
RRH,1996,9003,809,0,0,5783,0,21741,0,0,0,0
RRH,1997,9818,1455,0,0,6538,0,30661,0,0,0,0
RRH,1998,10252,785,0,0,4466,0,5988,0,0,0,0
RRH,1999,17369,5434,23,0,4814,679,14111,0,0,0,0
RRH,2000,25659,5952,547,0,8266,2471,57428,0,0,767,0
RRH,2001,62837,10034,1629,0,22001,10663,66220,0,0,805,0
RRH,2002,94475,4281,481,0,11853,7028,12372,0,0,1842,0
RRH,2003,78648,9363,993,0,13644,8775,30355,0,0,2521,0
RRH,2004,55214,10324,786,0,14580,9366,81338,0,0,1043,0
RRH,2005,52777,3287,1225,0,9710,4251,55570,0,0,404,0
RRH,2006,51431,3169,1523,0,8124,3005,25377,0,0,370,0
RRH,2007,27131,7450,4634,104,10146,3918,20683,0,0,696,0
RRH,2008,41933,6202,2944,782,13871,4712,161343,0,0,368,0
RRH,2009,50397,8951,5611,326,29547,9558,133106,0,0,278,0
RRH,2010,52023,3860,2181,510,17871,7560,295638,0,0,268,0
RRH,2011,53204,15338,7812,139,15280,6394,132096,0,0,618,0
RRH,2012,61007,7470,2397,43,13106,5400,363314,0,0,805,0
RRH,2013,114936,14254,486,48,9204,4585,131660,0,0,1626,0
RRH,2014,90303,12865,13101,69,10587,4973,492892,40,0,3799,158
RRH,2015,126417,4685,2016,124,10894,4370,216389,0,0,2134,0
RRH,2016,81607,4645,391,27,5728,1880,235925,0,0,3553,0
RRH,2017,60157,2685,5373,59,3988,1617,46701,0,0,23986,0
RRH,2018,46253,2920,4009,415,4238,1602,162684,0,0,5218,0
RRH,2019,53501,2133,6409,401,3298,1801,50464,0,0,906,0
At Rocky Reach Dam for the year 2019, the start date is 04/14/2019 and the end date is 12/13/2019.
This file contains adult salmon annual totals dam count data for the requested time period of: 1977 to 2019 for Rocky Reach Dam.
