Dam,Year,ChinookAdult,ChinookJack,CohoAdult,CohoJack,Steelhead,UnclippedSteelhead,Sockeye,Pink,Chum,Lamprey,Shad
TDA,1957,312678,0,6793,0,129261,0,90196,4,75,63099,5106
TDA,1958,301962,0,2395,0,121420,0,111039,8,31,144253,4530
TDA,1959,207461,0,2709,0,156090,0,86259,9,25,296713,4288
TDA,1960,196152,0,3000,0,111099,0,59441,5,35,259208,81053
TDA,1961,201335,0,2139,0,134572,0,16689,4,0,352444,113229
TDA,1962,186132,0,3696,0,163301,0,27127,5,0,83550,216464
TDA,1963,180469,0,3716,0,118957,0,56931,3,23,79530,160958
TDA,1964,183842,0,5977,0,110033,0,79042,5,0,64252,158786
TDA,1965,195049,0,17468,0,141052,0,44279,3,1,45180,346277
TDA,1966,240671,0,32279,0,146172,0,147886,1,0,43383,399028
TDA,1967,280112,0,32015,0,120614,0,120589,4,1,28309,138998
TDA,1968,262966,0,42687,0,147481,0,116947,1,0,57629,231107
TDA,1969,314193,0,17054,0,112475,0,37226,1,0,167250,305887
TDA,1970,261430,0,23219,0,74623,0,77678,0,4,0,308670
TDA,1971,250528,0,29061,0,151348,0,76103,3,0,0,187549
TDA,1972,268628,0,16562,0,135303,0,44671,0,0,0,273357
TDA,1973,280945,0,11152,0,100082,0,52303,1,0,0,781020
TDA,1974,217181,0,14655,0,70875,0,28827,0,0,0,315393
TDA,1975,217283,0,13953,0,57675,0,43198,0,0,0,438162
TDA,1976,216163,0,19392,0,82568,0,27747,0,0,0,508876
TDA,1977,224950,0,10021,0,133882,0,86252,0,0,0,856502
TDA,1978,199228,0,18877,0,60485,0,11845,0,0,0,1234723
TDA,1979,150647,0,8726,0,83364,0,32791,4,0,0,1398224
TDA,1980,93907,20016,3356,2970,93963,0,42088,0,0,0,1160752
TDA,1981,101257,33919,2536,4405,113268,0,35447,0,0,0,1088958
TDA,1982,112517,60165,4336,3047,117434,0,33331,0,0,0,1002820
TDA,1983,114808,42402,1203,2255,170643,0,84203,0,0,0,1932050
TDA,1984,132990,70847,1861,1311,218552,0,101379,0,0,0,1135982
TDA,1985,225975,145007,3070,1555,276023,0,117254,0,0,0,1389547
TDA,1986,266552,176461,3384,1458,281953,0,48477,0,0,0,1361854
TDA,1987,356115,65115,1357,1953,217768,0,87599,0,0,0,1289698
TDA,1988,308449,69631,6525,2701,198499,0,55802,0,0,0,2008572
TDA,1989,253497,28671,7830,4781,235639,0,39672,0,0,0,2971017
TDA,1990,174762,32794,2305,2340,129271,0,40230,0,0,0,3706855
TDA,1991,116203,36820,8548,1053,199853,0,63405,103,0,0,2191077
TDA,1992,141347,27160,2586,1239,232179,0,66384,3,0,0,2824313
TDA,1993,172655,12298,3944,416,124829,0,62252,0,0,0,2394394
TDA,1994,136288,25470,3786,590,112254,20259,9356,0,0,0,1801545
TDA,1995,108980,32813,2786,483,145844,19473,7166,0,0,0,1959564
TDA,1996,154044,13867,3622,959,162456,23583,25055,0,0,0,2648553
TDA,1997,207552,16249,4067,662,164756,20399,32430,0,0,0,2571260
TDA,1998,133619,20513,8196,774,116682,22302,8826,0,0,0,2149097
TDA,1999,171079,28412,13393,1648,156874,41379,13715,19,0,10410,1718679
TDA,2000,253067,63769,24966,4570,205241,53716,73383,0,0,8050,1556619
TDA,2001,556690,72644,62378,2179,503327,125117,102562,0,0,9061,2724946
TDA,2002,540173,42982,9765,3021,387920,116565,40554,0,1,23417,3218050
TDA,2003,556454,62007,43248,2853,282374,86636,34180,128,29,28995,4258889
TDA,2004,513938,48732,39726,1919,241079,73815,107466,0,5,14873,5472400
TDA,2005,364914,24991,33942,2187,244213,72298,65273,23,0,8361,6067028
TDA,2006,314159,27212,31798,2541,249223,59199,30026,3,3,6894,4611592
TDA,2007,188308,65306,30866,2096,246960,61499,19124,1,11,6083,3591988
TDA,2008,331468,66298,37982,4700,277640,78849,177984,12,0,4599,1805516
TDA,2009,350717,175120,68940,8552,515111,143489,155591,28,7,2318,1641362
TDA,2010,543241,75458,29091,2283,333033,122543,325133,1,0,1726,1241770
TDA,2011,440862,151007,72120,4633,299007,103123,138293,1158,3,5003,0
TDA,2012,413376,126554,31144,2875,201640,71236,410099,2,7,6241,0
TDA,2013,757403,141021,24110,2572,190750,80347,161896,87,4,8737,0
TDA,2014,772107,133342,146803,10843,255691,101146,586188,2,0,11662,0
TDA,2015,953152,115226,23777,3182,217018,76073,429797,137,0,12400,0
TDA,2016,515546,69544,21007,1902,145027,39602,288401,1,0,11557,0
TDA,2017,344577,50114,33772,3139,97012,26017,64058,7,0,30696,0
TDA,2018,234073,30671,21953,2477,80717,23636,152101,0,0,10515,0
TDA,2019,261062,40069,38742,4488,60991,27532,50687,23,0,4221,0
At The Dalles Dam for the year 2019, the start date is 04/01/2019 and the end date is 10/31/2019.
This file contains adult salmon annual totals dam count data for the requested time period of: 1957 to 2019 for The Dalles Dam.
