Dam,Year,ChinookAdult,ChinookJack,CohoAdult,CohoJack,Steelhead,UnclippedSteelhead,Sockeye,Pink,Chum,Lamprey,Shad
WAN,2006,84618,2466,3205,608,10412,0,26710,0,0,4381,281
WAN,2007,61641,6354,9428,747,17348,0,24097,0,0,4771,1015
WAN,2008,72352,14719,4389,227,16434,0,197711,0,0,1519,40
WAN,2009,88344,11592,9234,434,36689,0,166195,0,0,718,235
WAN,2010,101328,5458,2729,306,29005,0,360188,0,0,707,48
WAN,2011,81962,15021,22602,700,13855,0,150237,0,0,1901,32
WAN,2012,91991,7716,4600,932,15516,0,450198,0,0,3040,115
WAN,2013,176257,11396,1793,239,12325,0,155695,0,0,4277,240
WAN,2015,157891,6941,3049,278,14128,0,296339,0,0,5330,795
WAN,2016,121183,7125,1248,93,5868,0,322459,0,0,9428,668
WAN,2017,75514,3501,6084,379,4967,0,76075,0,0,28463,504
WAN,2018,57371,4068,4266,320,4411,0,196183,0,0,9073,428
WAN,2019,64647,5100,7209,335,3788,0,53893,0,0,2989,9
At Wanapum Dam for the year 2019, the start date is 04/15/2019 and the end date is 11/15/2019.
This file contains adult salmon annual totals dam count data for the requested time period of: 2006 to 2019 for Wanapum Dam.
