Dam,Year,ChinookAdult,ChinookJack,CohoAdult,CohoJack,Steelhead,UnclippedSteelhead,Sockeye,Pink,Chum,Lamprey,Shad
WEL,1977,10188,4810,68,0,5384,0,21973,0,0,0,0
WEL,1978,9499,1873,77,0,1523,0,7644,0,0,0,0
WEL,1979,9637,3542,62,0,3597,0,26655,0,0,0,0
WEL,1980,5320,1463,82,0,3443,0,26573,0,0,0,0
WEL,1981,5407,1490,26,0,4096,0,28234,0,0,0,0
WEL,1982,5428,2386,356,1,7984,0,19005,0,0,0,0
WEL,1983,5329,1511,82,0,19525,0,27925,0,0,0,0
WEL,1984,8649,2384,97,7,16627,0,81054,0,0,0,0
WEL,1985,10217,1667,89,1,19757,0,52989,0,0,0,0
WEL,1986,7429,967,92,0,13234,0,34788,0,0,0,0
WEL,1987,7883,861,42,0,5427,0,40120,0,0,0,0
WEL,1988,6905,942,78,0,4415,0,33978,0,0,0,0
WEL,1989,6084,436,15,0,4608,0,15976,0,0,0,0
WEL,1990,4765,375,37,0,3819,0,7609,0,0,0,0
WEL,1991,3037,642,16,0,7733,0,27490,0,0,0,0
WEL,1992,3655,1409,28,0,7073,0,41951,0,0,0,0
WEL,1993,7066,355,7,0,2400,0,27849,0,0,0,0
WEL,1994,7318,941,3,0,2183,0,1666,0,0,0,0
WEL,1995,3840,505,0,0,945,0,4892,0,0,0,0
WEL,1996,3267,427,1,0,4127,0,17701,0,0,0,0
WEL,1997,3978,319,13,6,4101,0,24621,0,0,0,0
WEL,1998,4430,894,1,0,2739,349,4664,0,0,343,0
WEL,1999,9414,1268,201,22,3551,581,12388,0,0,73,0
WEL,2000,10684,5353,0,0,6251,1780,59944,0,0,155,0
WEL,2001,48730,8262,604,5,17508,7889,74486,0,0,262,0
WEL,2002,76421,684,132,0,9475,5852,10586,0,0,338,0
WEL,2003,56362,2984,168,0,9963,5952,28977,0,0,1408,0
WEL,2004,41334,2083,291,0,9317,5600,78053,0,0,291,0
WEL,2005,38972,1248,348,0,7203,2760,55559,0,0,215,0
WEL,2006,33170,3445,409,0,6674,2573,22075,0,0,21,0
WEL,2007,16918,5362,2432,0,7500,3410,22273,0,0,35,0
WEL,2008,27731,4261,1191,5,9808,3803,165334,0,0,7,0
WEL,2009,36248,7778,2985,29,25443,8927,134937,0,0,9,0
WEL,2010,37771,3639,1217,10,12763,5415,291764,0,0,2,0
WEL,2011,36863,14882,5784,12,12069,4706,111508,0,0,1,0
WEL,2012,47458,5388,2035,7,9778,4248,326107,0,0,3,0
WEL,2013,73938,8824,564,9,7222,3421,129993,0,0,21,0
WEL,2014,72452,11054,9073,76,7735,3809,490804,0,0,7,109
WEL,2015,97626,5732,1125,48,9143,3552,187055,0,0,0,0
WEL,2016,61793,4029,392,31,4844,1709,216036,0,0,7,0
WEL,2017,40987,2471,3790,57,3755,1689,42299,0,0,287,0
WEL,2018,32357,2484,2812,134,3914,1588,153637,0,0,175,0
WEL,2019,35360,2891,3957,131,2828,1695,49862,0,0,14,0
At Wells Dam for the year 2019, the start date is 05/01/2019 and the end date is 11/15/2019.
This file contains adult salmon annual totals dam count data for the requested time period of: 1977 to 2019 for Wells Dam.
