Dam,Year,ChinookAdult,ChinookJack,CohoAdult,CohoJack,Steelhead,UnclippedSteelhead,Sockeye,Pink,Chum,Lamprey,Shad
WFA,2000,39490,1712,2839,773,17744,0,0,0,0,0,0
WFA,2001,54396,1327,1736,402,39590,0,0,0,0,0,0
WFA,2002,82874,1120,2337,2417,50084,0,0,0,0,0,0
WFA,2003,86288,1885,7908,1869,25306,0,0,0,0,0,0
WFA,2004,96692,873,2849,522,45109,0,0,0,0,0,0
WFA,2005,36417,1253,1322,271,19733,0,0,0,0,0,0
WFA,2006,38788,519,6186,1614,25930,0,0,0,0,0,0
WFA,2007,22980,298,1050,164,19698,0,0,0,0,0,0
WFA,2008,16703,1617,4048,2971,19257,0,0,0,0,0,0
WFA,2009,27131,2950,25298,2094,18209,0,0,0,0,0,0
WFA,2010,65988,1837,20103,1998,33585,0,0,0,0,0,0
WFA,2011,45604,1738,3393,1969,28393,0,0,0,0,0,0
WFA,2012,37694,1743,6571,6370,32193,0,0,0,0,0,0
WFA,2013,29488,2073,18629,4111,18237,0,0,0,0,0,0
WFA,2014,31454,2077,18070,3379,28340,0,0,0,0,0,0
WFA,2015,53979,3064,2651,923,8280,0,0,0,0,0,0
WFA,2016,31358,2383,2559,1991,27503,0,0,0,0,0,0
WFA,2017,37072,3018,3146,2782,2992,955,0,0,0,0,0
WFA,2018,27185,2334,2557,2806,11127,2401,0,0,0,0,0
WFA,2019,20353,2030,7454,1389,8549,3579,0,0,0,0,0
At Willamette Falls Dam for the year 2019, the start date is 01/01/2019 and the end date is 12/31/2019.
This file contains adult salmon annual totals dam count data for the requested time period of: 2000 to 2019 for Willamette Falls Dam.
