BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
202001,4,1615,202001,4,1615,144136,865219,"ATLANTIC SOUTH",87,2020,"January","Marine Thunderstorm Wind","Z",555,"SEBASTIAN INLET TO JUPITER INLET 0-20NM","MLB","04-JAN-20 16:15:00","EST-5","04-JAN-20 16:15:00","0","0","0","0","0.00K","0.00K","Mesonet","34.00","MG",,,,,,,,,,"3","ENE","STUART","3","ENE","STUART","27.22","-80.2","27.22","-80.2","A line of strong storms moved across central Florida, producing strong wind gusts along the coasts of Brevard and Martin Counties.","Weatherflow site XJEN near Jensen Beach measured a peak wind gust of 34 knots from the west-northwest.","CSV"
202001,12,0,202001,12,700,144019,864465,"NEW YORK",36,2020,"January","Ice Storm","Z",31,"WESTERN CLINTON","BTV","12-JAN-20 00:00:00","EST-5","12-JAN-20 07:00:00","0","0","0","0","25.00K","0.00K","Public",,,,,,,,,,,,,,,,,,,,,,"A moisture laden storm system tracked along a old cold front from the the Gulf of Mexico up across NY and VT. On Saturday, January 11th, the front was positioned across southern Canada with temperatures in the 50s/60s across NY. As the front slowly progressed south into northern NY during the evening, moderate to heavy rain fell across the region. Shortly after midnight of January 12th, the cold front slipped south of the Adirondacks with rain changing to freezing rain across the St. Lawrence and northern Champlain Valleys. ||Widespread 1/4 to 1/2 inches of ice accretion with locally up to 3/4 inch was observed along the international border, resulting in hazardous travel and scattered power outages.","Ice accretion  reports of 1/4 to 1/2 inch with locally up to 3/4 inch.","CSV"
202001,12,0,202001,12,800,144020,864462,"VERMONT",50,2020,"January","Ice Storm","Z",1,"GRAND ISLE","BTV","12-JAN-20 00:00:00","EST-5","12-JAN-20 08:00:00","0","0","0","0","25.00K","0.00K","Public",,,,,,,,,,,,,,,,,,,,,,"A moisture laden storm system tracked along a old cold front from the the Gulf of Mexico up across NY and VT. On Saturday, January 11th, the front was positioned across southern Canada with temperatures in the 50s/60s across VT. As the front slowly progressed south into northwest VT during the late evening and overnight hours, moderate to heavy rain fell across the region. during the early morning hours of January 12th, the cold front slipped south into the southern portions of the Champlain Valley.||Widespread 1/4 to 1/2 inches of ice accretion with locally up to 3/4 inch was observed along the international border, resulting in hazardous travel and scattered power outages.","Ice accretion of 1/4 to 1/2 inch across Grand Isle with locally close to 3/4 of an inch.","CSV"
202001,12,0,202001,12,700,144019,864463,"NEW YORK",36,2020,"January","Ice Storm","Z",27,"NORTHERN FRANKLIN","BTV","12-JAN-20 00:00:00","EST-5","12-JAN-20 07:00:00","0","0","0","0","25.00K","0.00K","Public",,,,,,,,,,,,,,,,,,,,,,"A moisture laden storm system tracked along a old cold front from the the Gulf of Mexico up across NY and VT. On Saturday, January 11th, the front was positioned across southern Canada with temperatures in the 50s/60s across NY. As the front slowly progressed south into northern NY during the evening, moderate to heavy rain fell across the region. Shortly after midnight of January 12th, the cold front slipped south of the Adirondacks with rain changing to freezing rain across the St. Lawrence and northern Champlain Valleys. ||Widespread 1/4 to 1/2 inches of ice accretion with locally up to 3/4 inch was observed along the international border, resulting in hazardous travel and scattered power outages.","Ice accretion  reports of 1/4 to 1/2 inch with locally up to 3/4 inch.","CSV"
202001,12,0,202001,12,700,144019,864464,"NEW YORK",36,2020,"January","Ice Storm","Z",26,"NORTHERN ST. LAWRENCE","BTV","12-JAN-20 00:00:00","EST-5","12-JAN-20 07:00:00","0","0","0","0","25.00K","0.00K","Public",,,,,,,,,,,,,,,,,,,,,,"A moisture laden storm system tracked along a old cold front from the the Gulf of Mexico up across NY and VT. On Saturday, January 11th, the front was positioned across southern Canada with temperatures in the 50s/60s across NY. As the front slowly progressed south into northern NY during the evening, moderate to heavy rain fell across the region. Shortly after midnight of January 12th, the cold front slipped south of the Adirondacks with rain changing to freezing rain across the St. Lawrence and northern Champlain Valleys. ||Widespread 1/4 to 1/2 inches of ice accretion with locally up to 3/4 inch was observed along the international border, resulting in hazardous travel and scattered power outages.","Ice accretion  reports of 1/4 to 1/2 inch with locally up to 3/4 inch.","CSV"
202001,12,0,202001,12,700,144019,864466,"NEW YORK",36,2020,"January","Winter Weather","Z",28,"EASTERN CLINTON","BTV","12-JAN-20 00:00:00","EST-5","12-JAN-20 07:00:00","0","0","0","0","10.00K","0.00K","Public",,,,,,,,,,,,,,,,,,,,,,"A moisture laden storm system tracked along a old cold front from the the Gulf of Mexico up across NY and VT. On Saturday, January 11th, the front was positioned across southern Canada with temperatures in the 50s/60s across NY. As the front slowly progressed south into northern NY during the evening, moderate to heavy rain fell across the region. Shortly after midnight of January 12th, the cold front slipped south of the Adirondacks with rain changing to freezing rain across the St. Lawrence and northern Champlain Valleys. ||Widespread 1/4 to 1/2 inches of ice accretion with locally up to 3/4 inch was observed along the international border, resulting in hazardous travel and scattered power outages.","Rainfall changed to freezing rain mixed with sleet, that produced 1/4 to 1/3 of ice accumulation in the north.","CSV"
202001,4,1418,202001,4,1418,144136,865216,"ATLANTIC SOUTH",87,2020,"January","Marine Thunderstorm Wind","Z",552,"VOLUSIA-BREVARD COUNTY LINE TO SEBASTIAN INLET 0-20NM","MLB","04-JAN-20 14:18:00","EST-5","04-JAN-20 14:18:00","0","0","0","0","0.00K","0.00K","ASOS","36.00","MG",,,,,,,,,,"2","NNW","MELBOURNE","2","NNW","MELBOURNE","28.101","-80.612","28.101","-80.612","A line of strong storms moved across central Florida, producing strong wind gusts along the coasts of Brevard and Martin Counties.","The ASOS at the Melbourne International Airport (KMLB) measured a peak wind gust of 36 knots from the west.","CSV"
202001,4,1434,202001,4,1434,144136,865218,"ATLANTIC SOUTH",87,2020,"January","Marine Thunderstorm Wind","Z",552,"VOLUSIA-BREVARD COUNTY LINE TO SEBASTIAN INLET 0-20NM","MLB","04-JAN-20 14:34:00","EST-5","04-JAN-20 14:34:00","0","0","0","0","0.00K","0.00K","Mesonet","38.00","MG",,,,,,,,,,"2","SSE","MELBOURNE BEACH","2","SSE","MELBOURNE BEACH","28.05","-80.56","28.05","-80.56","A line of strong storms moved across central Florida, producing strong wind gusts along the coasts of Brevard and Martin Counties.","A mesonet at Melbourne Rivers Edge in Melbourne Beach measured a peak wind gust of 38 knots from the west.","CSV"
202001,12,0,202001,12,700,144019,864467,"NEW YORK",36,2020,"January","Winter Weather","Z",87,"SOUTHWESTERN ST. LAWRENCE","BTV","12-JAN-20 00:00:00","EST-5","12-JAN-20 07:00:00","0","0","0","0","10.00K","0.00K","Public",,,,,,,,,,,,,,,,,,,,,,"A moisture laden storm system tracked along a old cold front from the the Gulf of Mexico up across NY and VT. On Saturday, January 11th, the front was positioned across southern Canada with temperatures in the 50s/60s across NY. As the front slowly progressed south into northern NY during the evening, moderate to heavy rain fell across the region. Shortly after midnight of January 12th, the cold front slipped south of the Adirondacks with rain changing to freezing rain across the St. Lawrence and northern Champlain Valleys. ||Widespread 1/4 to 1/2 inches of ice accretion with locally up to 3/4 inch was observed along the international border, resulting in hazardous travel and scattered power outages.","Rainfall changed to freezing rain mixed with sleet, that produced up to 1/4-1/3 accumulation in the north.","CSV"
202001,15,2300,202001,16,1200,144068,865704,"NEW YORK",36,2020,"January","Winter Weather","Z",35,"EASTERN ESSEX","BTV","15-JAN-20 23:00:00","EST-5","16-JAN-20 12:00:00","0","0","0","0","0.00K","0.00K","CoCoRaHS",,,,,,,,,,,,,,,,,,,,,,"A clipper-like system quickly moved from the lower Great Lakes on the evening of January 15th, across central NY during the early morning hours of January 16th into the Gulf of Maine by midday.||A west to east band of moderate to occasionally heavy snow moved across the southern Adirondacks and central VT during the overnight and morning hours of January 16th, where 4 to 8 inches of snow was observed. Lesser snowfall totals were measured across northern NY, northern VT and southern VT.","A general 3 to 5 inches of snow observed with minimal impacts.","CSV"
