YEARMONTH,EPISODE_ID,EVENT_ID,LOCATION_INDEX,RANGE,AZIMUTH,LOCATION,LATITUDE,LONGITUDE,LAT2,LON2
202001,143838,863537,1,.5,"WSW","OCONTO",44.8782,-87.8899,4452692,8753394
202001,143838,863537,2,1.67,"E","OCONTO",44.8801,-87.8458,4452806,8750748
202001,143838,863537,3,1.79,"ENE","OCONTO",44.8939,-87.8492,4453634,8750952
202001,143838,863537,4,1.17,"NNW","OCONTO",44.8954,-87.8897,4453724,8753382
202001,143845,863585,1,1.01,"NNW","KEWAUNEE",44.4643,-87.5041,4427858,8730246
202001,143845,863585,2,.96,"N","KEWAUNEE",44.4638,-87.5017,4427828,8730102
202001,143845,863585,3,.86,"N","KEWAUNEE",44.4625,-87.4997,4427750,8729982
202001,143845,863585,4,.79,"N","KEWAUNEE",44.4615,-87.5001,4427690,8730006
202001,143845,863585,5,.75,"N","KEWAUNEE",44.4607,-87.5019,4427642,8730114
202001,143845,863585,6,.94,"NNW","KEWAUNEE",44.4632,-87.5046,4427792,8730276
202001,143845,863586,1,2.77,"NE","OCONTO",44.9111,-87.8442,4454666,8750652
202001,143845,863586,2,2.86,"NE","OCONTO",44.9116,-87.8422,4454696,8750532
202001,143845,863586,3,2.65,"ENE","OCONTO",44.896,-87.8307,4453760,8749842
202001,143845,863586,4,2.33,"ENE","OCONTO",44.8948,-87.8372,4453688,8750232
202001,143887,863828,1,3.1,"SE","BEECH IS",33.39,-81.84,3323400,8150400
202001,143960,865452,1,.24,"ENE","TULSA",36.1514,-95.946,369084,9556760
202001,143960,865453,1,2.95,"NNE","TULSA R L JONES ARPT",36.069,-95.9585,364140,9557510
202001,143960,865454,1,2,"N","TULSA",36.179,-95.95,3610740,9557000
202001,143960,865455,1,.65,"S","TAHLEQUAH",35.9106,-94.971,3554636,9458260
202001,143960,865456,1,1.02,"SSE","SALLISAW",35.4575,-94.7904,3527450,9447424
202001,143960,865457,1,.95,"NW","MC ALESTER",34.9399,-95.7817,3456394,9546902
202001,143960,865457,2,1.7,"NNW","KREBS",34.9408,-95.7362,3456448,9544172
202001,143960,865457,3,1.16,"WSW","KREBS",34.9164,-95.74,3454984,9544400
202001,143960,865457,4,1.21,"SW","MC ALESTER",34.9166,-95.7837,3454996,9547022
202001,143960,865458,1,1.69,"NNW","POTEAU",35.0708,-94.6357,354248,9438142
202001,143960,865458,2,.04,"SE","NEFF",35.0696,-94.5995,354176,9435970
202001,143960,865458,3,1.08,"SE","POTEAU",35.0379,-94.608,352274,9436480
202001,143960,865458,4,.99,"WSW","POTEAU",35.0424,-94.6348,352544,9438088
202001,143960,867121,1,3.04,"WNW","PETTIT",35.7796,-95.0229,3546776,951374
202001,143960,867121,2,2.29,"S","PARK HILL",35.8369,-94.948,3550214,9456880
202001,143960,867124,1,6.01,"SSE","ASHLAND",34.687,-96.0385,3441220,962310
202001,143960,867124,2,2.48,"SSE","KIOWA",34.687,-95.8828,3441220,9552968
202001,143960,867124,3,2.29,"NNW","PITTSBURG",34.7486,-95.8702,3444916,9552212
202001,143960,867124,4,3.18,"ESE","ASHLAND",34.7495,-96.0199,3444970,961194
202001,143960,874086,1,5.37,"SE","MURPHY",36.0991,-95.1771,365946,9510626
202001,143960,874086,2,5.24,"ESE","MURPHY",36.1163,-95.1659,366978,959954
202001,143971,864137,1,2.83,"NNE","EAGLE POINT",29.54,-94.91,2932400,9454600
202001,143971,864138,1,49.21,"WSW","SARGENT",28.42,-96.33,2825200,9619800
202001,143971,864139,1,1.51,"NNE","TEXAS CITY",29.42,-94.89,2925200,9453400
202001,143971,864140,1,0,"N","MORGANS POINT",29.68,-94.98,2940800,9458800
202001,143971,864141,1,1.38,"S","EAGLE POINT",29.48,-94.92,2928800,9455200
202001,143971,864142,1,1.94,"ESE","FREEPORT",28.94,-95.3,2856400,9518000
202001,143971,864143,1,4.8,"NNW","SAN LUIS PASS",29.13,-95.06,297800,953600
202001,143971,864144,1,6.08,"W","SAN LUIS PASS",29.08,-95.12,294800,957200
202001,143971,864145,1,.92,"SE","NORTH JETTY",29.36,-94.72,2921600,9443200
202001,143971,864146,1,1.93,"WNW","NORTH JETTY",29.38,-94.76,2922800,9445600
202001,143971,864147,1,7.32,"SSE","TEXAS CITY",29.3,-94.86,2918000,9451600
202001,143971,864148,1,3.9,"SSW","GALVESTON",29.25,-94.85,2915000,9451000
202001,143971,864149,1,15.65,"E","SMITH PT",29.52,-94.51,2931200,9430600
202001,143971,864150,1,9.57,"NE","NORTH JETTY",29.47,-94.62,2928200,9437200
202001,143971,864151,1,0,"N","BUOY 42035",29.23,-94.4,2913800,9424000
202001,143972,864154,1,.54,"E","HULINGTON",38.98,-84.16,3858800,849600
202001,143972,864155,1,1.75,"ESE","LOUDEN",39.02,-83.42,391200,8325200
202001,143972,864156,1,.13,"S","ROME",38.6681,-83.3798,3840086,8322788
202001,143972,864157,1,1.25,"W","PORTSMOUTH",38.7325,-83.0029,3843950,83174
202001,143972,864158,1,2.06,"E","CLIFFORD",38.9205,-82.9818,3855230,8258908
202001,143973,864152,1,.66,"NW","OWENTON",38.5372,-84.8382,3832232,8450292
202001,143973,864153,1,1.76,"ESE","LEWISBURG",38.54,-83.74,3832400,8344400
202001,143974,867833,1,3.7,"S","LAKE GEORGIA PACIFIC",33.1768,-92.0576,3310608,923456
202001,143974,867833,2,2.38,"S","WHITLOW",33.1856,-91.9813,3311136,9158878
202001,143974,867835,1,1.98,"NNE","PUGH",33.2576,-91.9609,3315456,9157654
202001,143974,867835,2,2.04,"NNE","HAMBURG",33.256,-91.8033,3315360,9148198
202001,143974,867837,1,1.84,"N","NORTH CROSSETT",33.1761,-91.9441,3310566,9156646
202001,143974,867837,2,4.48,"SE","HAMBURG",33.1835,-91.766,3311010,9145960
202001,143974,867838,1,.86,"WNW","MYRTLE GROVE",33.3027,-91.2845,3318162,9117070
202001,143974,867838,2,.69,"WNW","MYRTLE GROVE",33.3023,-91.2816,3318138,9116896
202001,143974,869290,1,3.48,"W","MIST",33.2638,-91.7598,3315828,9145588
202001,143974,869290,2,2.38,"E","MONTROSE",33.303,-91.459,3318180,9127540
202001,143974,869291,1,3.41,"W","COSGROVE",33.303,-91.459,3318180,9127540
202001,143974,869291,2,.79,"NW","COSGROVE",33.3087,-91.4088,3318522,9124528
202001,143974,869583,1,1.93,"W","LAKE VLG",33.3349,-91.3129,3320094,9118774
202001,143974,869583,2,1.04,"ENE","LUNA",33.385,-91.183,3323100,9110980
202001,143974,869584,1,5.36,"NE","LELAND",33.419,-91.098,3325140,915880
202001,143974,869584,2,8.32,"NE","LELAND",33.446,-91.058,3326760,913480
202001,143974,871382,1,1.38,"N","OLD MILO",33.3,-91.92,3318000,9155200
202001,143974,871383,1,1.16,"E","HAMBURG",33.23,-91.8,3313800,9148000
202001,143974,871390,1,4.11,"W","SUNSHINE",33.17,-91.6,3310200,9136000
202001,143974,871392,1,.9,"SW","BOYDELL",33.36,-91.49,3321600,9129400
202001,143974,871394,1,.69,"N","DERMOTT",33.53,-91.43,3331800,9125800
202001,143974,871454,1,0,"N","LAKE VLG",33.33,-91.28,3319800,9116800
202001,143974,871455,1,0,"N","MACON LAKE",33.42,-91.32,3325200,9119200
202001,143976,871393,1,6.14,"NNE","BEEKMAN",33.0066,-91.856,33396,9151360
202001,143976,871458,1,1.05,"S","UPLAND",32.7148,-91.8793,3242888,9152758
202001,143976,871466,1,.59,"W","KILBOURNE",32.9984,-91.31,3259904,9118600
202001,143976,871467,1,1,"W","DARNELL",32.6774,-91.4668,3240644,9128008
202001,143976,871467,2,.9,"NW","DARNELL",32.69,-91.46,3241400,9127600
202001,143976,871519,1,.86,"SE","RAYVILLE MUNI ARPT",32.4703,-91.7607,3228218,9145642
202001,143976,871520,1,6.87,"NE","BASKIN",32.35,-91.68,3221000,9140800
202001,143976,871524,1,.69,"N","PIONEER",32.74,-91.43,3244400,9125800
202001,143976,871524,2,.87,"NNW","PIONEER",32.7414,-91.4361,3244484,9126166
202001,143976,871524,3,.59,"W","PIONEER",32.729,-91.4401,3243740,9126406
202001,143976,871524,4,.12,"WSW","PIONEER",32.7295,-91.4321,3243770,9125926
202001,143976,871525,1,.58,"W","KILBOURNE",33,-91.31,3300,9118600
202001,143976,871525,2,.31,"S","KILBOURNE",32.9955,-91.2992,3259730,9117952
202001,143976,871525,3,.58,"SSW","KILBOURNE",32.9926,-91.3049,3259556,9118294
202001,143976,871525,4,.78,"WSW","KILBOURNE",32.9975,-91.3131,3259850,9118786
202001,143976,871526,1,1.75,"W","THOMASTOWN",32.37,-91.1,3222200,916000
202001,143976,871527,1,0,"N","WATERPROOF",31.8,-91.4,3148000,9124000
202001,143976,871528,1,1.89,"ESE","ST JOSEPH LAKE",32.02,-91.19,321200,9111400
202001,143977,864159,1,1.33,"ESE","GLOVER HILL",35.06,-85.63,353600,8537800
202001,143977,864160,1,.57,"E","OOLTEWAH",35.08,-85.06,354800,853600
202001,143977,864161,1,.69,"N","PIKEVILLE",35.61,-85.2,3536600,8512000
202001,143977,864162,1,.89,"SE","ATHENS",35.44,-84.59,3526400,8435400
