# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2020-04-21 16:49:18 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14246900 COLUMBIA RIVER AT PORT WESTWARD, NEAR QUINCY, OR
# -----------------------------------------------------------------------------------
#
# Data provided for site 14246900
#            TS   parameter     statistic     Description
#        114427       00010     00001     Temperature, water, degrees Celsius (Maximum)
#        114428       00010     00002     Temperature, water, degrees Celsius (Minimum)
#        114429       00010     00003     Temperature, water, degrees Celsius (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
# 
agency_cd	site_no	datetime	114427_00010_00001	114427_00010_00001_cd	114428_00010_00002	114428_00010_00002_cd	114429_00010_00003	114429_00010_00003_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s
USGS	14246900	1994-04-21	12.7	A	11.9	A	12.2	A
USGS	14246900	1994-04-22	12.7	A	12.2	A	12.3	A
USGS	14246900	1994-04-23	12.7	A	12.2	A	12.4	A
USGS	14246900	1994-04-24	12.4	A	11.9	A	12.2	A
USGS	14246900	1994-04-25	12.9	A	11.9	A	12.4	A
USGS	14246900	1994-04-26	12.9	A	12.1	A	12.5	A
USGS	14246900	1994-04-27	12.6	A	12.1	A	12.4	A
USGS	14246900	1994-04-28	12.9	A	12.4	A	12.6	A
USGS	14246900	1994-04-29	13.1	A	12.6	A	12.7	A
USGS	14246900	1994-04-30	13.2	A	12.7	A	12.9	A
USGS	14246900	1994-05-01	13.0	A	12.5	A	12.8	A
USGS	14246900	1994-05-02	13.1	A	12.6	A	12.8	A
USGS	14246900	1994-05-03	12.9	A	12.5	A	12.6	A
USGS	14246900	1994-05-04	12.9	A	12.5	A	12.7	A
USGS	14246900	1994-05-05	13.4	A	12.7	A	13.0	A
USGS	14246900	1994-05-06	13.9	A	13.1	A	13.5	A
USGS	14246900	1994-05-07	14.4	A	13.6	A	14.1	A
USGS	14246900	1994-05-08	14.9	A	14.1	A	14.5	A
USGS	14246900	1994-05-09	15.1	A	14.5	A	14.8	A
USGS	14246900	1994-05-10	15.1	A	14.8	A	14.9	A
USGS	14246900	1994-05-11	15.3	A	14.8	A	15.0	A
USGS	14246900	1994-05-12	15.2	A	14.7	A	14.9	A
USGS	14246900	1994-05-13	15.0	A	14.7	A	14.8	A
USGS	14246900	1994-05-14	15.0	A	14.8	A	14.8	A
USGS	14246900	1994-05-15	15.1	A	14.6	A	14.8	A
USGS	14246900	1994-05-16	14.9	A	14.6	A	14.7	A
USGS	14246900	1994-05-17	14.7	A	14.3	A	14.5	A
USGS	14246900	1994-05-18	14.7	A	14.4	A	14.6	A
USGS	14246900	1994-05-19	15.1	A	14.4	A	14.6	A
USGS	14246900	1994-05-20	15.1	A	14.5	A	14.8	A
USGS	14246900	1994-05-21	15.1	A	14.3	A	14.8	A
USGS	14246900	1994-05-22	15.3	A	14.6	A	15.0	A
USGS	14246900	1994-05-23	15.8	A	14.8	A	15.3	A
USGS	14246900	1994-05-24	16.0	A	15.5	A	15.7	A
USGS	14246900	1994-05-25	16.2	A	15.6	A	15.8	A
USGS	14246900	1994-05-26	15.9	A	15.3	A	15.7	A
USGS	14246900	1994-05-27	15.9	A	15.3	A	15.5	A
USGS	14246900	1994-05-28	15.4	A	14.8	A	15.1	A
USGS	14246900	1994-05-29	15.1	A	14.6	A	14.9	A
USGS	14246900	1994-05-30	15.1	A	14.6	A	14.8	A
USGS	14246900	1994-05-31	15.4	A	14.8	A	15.0	A
USGS	14246900	1994-06-01	15.6	A	15.1	A	15.4	A
USGS	14246900	1994-06-02	15.9	A	15.3	A	15.5	A
USGS	14246900	1994-06-03	16.2	A	15.6	A	15.9	A
USGS	14246900	1994-06-04	16.3	A	15.9	A	16.1	A
USGS	14246900	1994-06-05	16.3	A	15.7	A	16.0	A
USGS	14246900	1994-06-06	16.1	A	15.6	A	15.8	A
USGS	14246900	1994-06-07	16.1	A	15.5	A	15.7	A
USGS	14246900	1994-06-08	16.2	A	15.4	A	15.8	A
USGS	14246900	1994-06-09	16.3	A	15.4	A	16.0	A
USGS	14246900	1994-06-10	16.6	A	16.0	A	16.3	A
USGS	14246900	1994-06-11	17.0	A	16.3	A	16.7	A
USGS	14246900	1994-06-12	17.0	A	16.7	A	17.0	A
USGS	14246900	1994-06-13	17.0	A	16.4	A	16.7	A
USGS	14246900	1994-06-14	16.7	A	15.9	A	16.4	A
USGS	14246900	1994-06-15	16.2	A	15.6	A	16.0	A
USGS	14246900	1994-06-16	16.2	A	15.6	A	15.8	A
USGS	14246900	1994-06-17	16.2	A	15.9	A	16.0	A
USGS	14246900	1994-06-18	16.5	A	15.9	A	16.3	A
USGS	14246900	1994-06-19	16.8	A	15.9	A	16.5	A
USGS	14246900	1994-06-20	17.4	A	16.5	A	17.0	A
USGS	14246900	1994-06-21	17.9	A	17.0	A	17.5	A
USGS	14246900	1994-06-22	18.3	A	17.3	A	17.7	A
USGS	14246900	1994-06-23	17.9	A	17.5	A	17.7	A
USGS	14246900	1994-06-24	17.6	A	17.2	A	17.4	A
USGS	14246900	1994-06-25	17.6	A	17.2	A	17.4	A
USGS	14246900	1994-06-26	17.6	A	17.2	A	17.4	A
USGS	14246900	1994-06-27	17.9	A	17.2	A	17.4	A
USGS	14246900	1994-06-28	17.9	A	17.2	A	17.5	A
USGS	14246900	1994-06-29	17.9	A	17.5	A	17.7	A
USGS	14246900	1994-06-30	18.5	A	17.5	A	18.0	A
USGS	14246900	1994-07-01	18.5	A	18.1	A	18.3	A
USGS	14246900	1994-07-02	18.5	A	18.1	A	18.3	A
USGS	14246900	1994-07-03	18.5	A	17.8	A	18.1	A
USGS	14246900	1994-07-04	18.2	A	17.5	A	17.8	A
USGS	14246900	1994-07-05	18.2	A	17.5	A	17.9	A
USGS	14246900	1994-07-06	18.5	A	17.8	A	18.2	A
USGS	14246900	1994-07-07	18.5	A	17.8	A	18.2	A
USGS	14246900	1994-07-08	18.7	A	17.7	A	18.3	A
USGS	14246900	1994-07-09	19.0	A	18.0	A	18.7	A
USGS	14246900	1994-07-10	19.4	A	18.7	A	19.1	A
USGS	14246900	1994-07-11	19.7	A	19.0	A	19.3	A
USGS	14246900	1994-07-12	19.7	A	19.0	A	19.4	A
USGS	14246900	1994-07-13	20.0	A	19.3	A	19.7	A
USGS	14246900	1994-07-14	20.0	A	19.3	A	19.7	A
USGS	14246900	1994-07-15	20.0	A	19.0	A	19.6	A
USGS	14246900	1994-07-16	20.0	A	19.3	A	19.6	A
USGS	14246900	1994-07-17	20.0	A	19.3	A	19.7	A
USGS	14246900	1994-07-18	20.4	A	19.7	A	20.1	A
USGS	14246900	1994-07-19	21.4	A	20.0	A	20.6	A
USGS	14246900	1994-07-20	21.4	A	20.7	A	21.1	A
USGS	14246900	1994-07-21	21.7	A	21.3	A	21.5	A
USGS	14246900	1994-07-22	22.1	A	21.7	A	21.8	A
USGS	14246900	1994-07-23	22.4	A	21.7	A	22.1	A
USGS	14246900	1994-07-24	22.4	A	22.0	A	22.1	A
USGS	14246900	1994-07-25	22.4	A	22.0	A	22.1	A
USGS	14246900	1994-07-26	22.4	A	22.0	A	22.4	A
USGS	14246900	1994-07-27	22.4	A	22.4	A	22.4	A
USGS	14246900	1994-07-28						
USGS	14246900	1994-07-29						
USGS	14246900	1994-07-30						
USGS	14246900	1994-07-31						
USGS	14246900	1994-08-01						
USGS	14246900	1994-08-02						
USGS	14246900	1994-08-03						
USGS	14246900	1994-08-04						
USGS	14246900	1994-08-05						
USGS	14246900	1994-08-06						
USGS	14246900	1994-08-07						
USGS	14246900	1994-08-08						
USGS	14246900	1994-08-09						
USGS	14246900	1994-08-10						
USGS	14246900	1994-08-11						
USGS	14246900	1994-08-12						
USGS	14246900	1994-08-13						
USGS	14246900	1994-08-14						
USGS	14246900	1994-08-15						
USGS	14246900	1994-08-16						
USGS	14246900	1994-08-17						
USGS	14246900	1994-08-18						
USGS	14246900	1994-08-19						
USGS	14246900	1994-08-20						
USGS	14246900	1994-08-21						
USGS	14246900	1994-08-22						
