Date,HEIGHT,STORAGE,Current
date,(m),(Ml),%
1-Jan-12,24.8,357963,74.5
2-Jan-12,24.8,356677,74.3
3-Jan-12,24.8,355394,74
4-Jan-12,24.7,353687,73.7
5-Jan-12,24.7,351135,73.1
6-Jan-12,24.6,349863,72.9
7-Jan-12,24.6,348594,72.6
8-Jan-12,24.6,347327,72.3
9-Jan-12,24.5,345643,72
10-Jan-12,24.5,343963,71.6
11-Jan-12,24.5,342706,71.4
12-Jan-12,24.4,341452,71.1
13-Jan-12,24.4,340617,70.9
14-Jan-12,24.4,338951,70.6
15-Jan-12,24.4,337705,70.3
16-Jan-12,24.3,336461,70.1
17-Jan-12,24.3,333981,69.6
18-Jan-12,24.2,333157,69.4
19-Jan-12,24.2,332334,69.2
20-Jan-12,24.2,330282,68.8
21-Jan-12,24.1,329054,68.5
22-Jan-12,24.1,327829,68.3
23-Jan-12,24.1,326606,68
24-Jan-12,24.1,325386,67.8
25-Jan-12,24,323764,67.4
26-Jan-12,24,322146,67.1
27-Jan-12,23.9,320532,66.8
28-Jan-12,23.9,319323,66.5
29-Jan-12,23.9,318116,66.2
30-Jan-12,23.8,316913,66
31-Jan-12,23.8,314514,65.5
1-Feb-12,23.8,313318,65.2
2-Feb-12,23.7,312522,65.1
3-Feb-12,23.7,310935,64.8
4-Feb-12,23.7,309747,64.5
5-Feb-12,23.6,308957,64.3
6-Feb-12,23.6,307380,64
7-Feb-12,23.6,306594,63.8
8-Feb-12,23.5,303460,63.2
9-Feb-12,23.5,301511,62.8
10-Feb-12,23.4,300345,62.5
11-Feb-12,23.4,298796,62.2
12-Feb-12,23.4,297637,62
13-Feb-12,23.3,297251,61.9
14-Feb-12,23.3,296096,61.7
15-Feb-12,23.3,294943,61.4
16-Feb-12,23.3,293794,61.2
17-Feb-12,23.2,292265,60.9
18-Feb-12,23.2,291122,60.6
19-Feb-12,23.2,289982,60.4
20-Feb-12,23.1,288845,60.2
21-Feb-12,23.1,287333,59.8
22-Feb-12,23.1,286203,59.6
23-Feb-12,23,284325,59.2
24-Feb-12,23,283577,59.1
25-Feb-12,23,282829,58.9
26-Feb-12,22.9,282083,58.7
27-Feb-12,22.9,281338,58.6
28-Feb-12,22.9,280595,58.4
29-Feb-12,22.9,279111,58.1
1-Mar-12,22.9,279111,58.1
2-Mar-12,22.8,276896,57.7
3-Mar-12,22.8,275793,57.4
4-Mar-12,22.7,274693,57.2
5-Mar-12,22.7,273596,57
6-Mar-12,22.7,272502,56.7
7-Mar-12,22.7,271411,56.5
8-Mar-12,22.6,269962,56.2
9-Mar-12,22.6,268878,56
10-Mar-12,22.6,267797,55.8
11-Mar-12,22.5,266720,55.5
12-Mar-12,22.5,266003,55.4
13-Mar-12,22.5,265288,55.2
14-Mar-12,22.4,263506,54.9
15-Mar-12,22.4,262795,54.7
16-Mar-12,22.4,262440,54.7
17-Mar-12,22.4,261378,54.4
18-Mar-12,22.3,260320,54.2
19-Mar-12,22.3,259264,54
20-Mar-12,22.3,258562,53.8
21-Mar-12,22.3,257512,53.6
22-Mar-12,22.2,256465,53.4
23-Mar-12,22.2,255421,53.2
24-Mar-12,22.2,254380,53
25-Mar-12,22.1,253343,52.8
26-Mar-12,22.1,252309,52.5
27-Mar-12,22.1,251278,52.3
28-Mar-12,22.1,250250,52.1
29-Mar-12,22,249226,51.9
30-Mar-12,22,248545,51.8
31-Mar-12,22,248545,51.8
1-Apr-12,22,248545,51.8
2-Apr-12,22,248545,51.8
3-Apr-12,22,248205,51.7
4-Apr-12,22,248205,51.7
5-Apr-12,22,247865,51.6
6-Apr-12,22,247526,51.5
7-Apr-12,22,247526,51.5
8-Apr-12,22,247526,51.5
9-Apr-12,22,248545,51.8
10-Apr-12,22,248545,51.8
11-Apr-12,22,249908,52
12-Apr-12,22.4,261378,54.4
13-Apr-12,22.4,261025,54.4
14-Apr-12,22.4,261025,54.4
15-Apr-12,22.4,261025,54.4
16-Apr-12,22.3,259968,54.1
17-Apr-12,22.3,258913,53.9
18-Apr-12,22,246848,51.4
19-Apr-12,22,246848,51.4
20-Apr-12,21.9,246510,51.3
21-Apr-12,21.9,245502,51.1
22-Apr-12,21.9,244832,51
23-Apr-12,21.9,244164,50.8
24-Apr-12,21.9,243497,50.7
25-Apr-12,21.8,242831,50.6
26-Apr-12,21.8,242831,50.6
27-Apr-12,21.8,242167,50.4
28-Apr-12,21.8,242167,50.4
29-Apr-12,21.8,241504,50.3
30-Apr-12,21.8,241504,50.3
1-May-12,21.8,240513,50.1
2-May-12,21.8,240513,50.1
3-May-12,21.8,241836,50.4
4-May-12,21.9,243497,50.7
5-May-12,22,249567,52
6-May-12,22.1,250250,52.1
7-May-12,22.1,250250,52.1
8-May-12,22.1,250250,52.1
9-May-12,22.1,250250,52.1
10-May-12,22,249908,52
11-May-12,22,249908,52
12-May-12,22,249908,52
13-May-12,22,249567,52
14-May-12,22,249567,52
15-May-12,22,249567,52
16-May-12,22,249226,51.9
17-May-12,22,249226,51.9
18-May-12,22,249567,52
19-May-12,22,249226,51.9
20-May-12,22,249226,51.9
21-May-12,22,249908,52
22-May-12,22,249908,52
23-May-12,22,249908,52
24-May-12,22,249226,51.9
25-May-12,22,249226,51.9
26-May-12,22,249226,51.9
27-May-12,22.1,250250,52.1
28-May-12,22.1,250250,52.1
29-May-12,22.1,250250,52.1
30-May-12,22.1,250250,52.1
31-May-12,22.1,250935,52.3
1-Jun-12,22.1,250935,52.3
2-Jun-12,22.1,250935,52.3
3-Jun-12,22.1,250935,52.3
4-Jun-12,22.1,250250,52.1
5-Jun-12,22.1,250250,52.1
6-Jun-12,22.1,250250,52.1
7-Jun-12,22.1,250250,52.1
8-Jun-12,22.3,257162,53.6
9-Jun-12,22.5,267438,55.7
10-Jun-12,22.6,271048,56.4
11-Jun-12,22.7,271411,56.5
12-Jun-12,22.7,272502,56.7
13-Jun-12,22.7,272502,56.7
14-Jun-12,22.7,273231,56.9
15-Jun-12,22.7,273596,57
16-Jun-12,22.7,273596,57
17-Jun-12,22.7,273596,57
18-Jun-12,22.7,273596,57
19-Jun-12,22.7,273596,57
20-Jun-12,22.7,273596,57
21-Jun-12,22.7,273596,57
22-Jun-12,22.7,273231,56.9
23-Jun-12,22.7,273231,56.9
24-Jun-12,22.7,273231,56.9
25-Jun-12,22.7,273596,57
26-Jun-12,22.7,273596,57
27-Jun-12,23.1,286956,59.8
28-Jun-12,23.2,293029,61
29-Jun-12,23.2,293029,61
30-Jun-12,23.2,293029,61
1-Jul-12,23.4,297637,62
2-Jul-12,23.4,297637,62
3-Jul-12,23.4,299570,62.4
4-Jul-12,23.4,299570,62.4
5-Jul-12,23.4,299570,62.4
6-Jul-12,23.5,301511,62.8
7-Jul-12,23.6,306594,63.8
8-Jul-12,23.6,306594,63.8
9-Jul-12,23.6,306594,63.8
10-Jul-12,23.7,309352,64.4
11-Jul-12,23.8,316512,65.9
12-Jul-12,23.9,318518,66.3
13-Jul-12,23.9,319725,66.6
14-Jul-12,23.9,319725,66.6
15-Jul-12,23.9,319725,66.6
16-Jul-12,24,322550,67.2
17-Jul-12,24,323359,67.3
18-Jul-12,24,323359,67.3
19-Jul-12,24,323359,67.3
20-Jul-12,24,323359,67.3
21-Jul-12,24,323764,67.4
22-Jul-12,24.1,325386,67.8
23-Jul-12,24.4,338951,70.6
24-Jul-12,24.4,338951,70.6
25-Jul-12,24.4,341034,71
26-Jul-12,24.5,341869,71.2
27-Jul-12,24.5,341869,71.2
28-Jul-12,24.5,342706,71.4
29-Jul-12,24.5,342706,71.4
30-Jul-12,24.5,343963,71.6
31-Jul-12,24.5,343963,71.6
1-Aug-12,24.5,344802,71.8
2-Aug-12,24.5,344802,71.8
3-Aug-12,24.6,346063,72.1
4-Aug-12,24.6,346063,72.1
5-Aug-12,24.6,346063,72.1
6-Aug-12,24.6,349017,72.7
7-Aug-12,24.7,352410,73.4
8-Aug-12,24.8,358392,74.6
9-Aug-12,24.9,362269,75.4
10-Aug-12,24.9,362269,75.4
11-Aug-12,25,365300,76.1
12-Aug-12,25.1,367474,76.5
13-Aug-12,25.5,387375,80.7
14-Aug-12,25.5,387375,80.7
15-Aug-12,25.9,403272,84
16-Aug-12,26.1,415788,86.6
17-Aug-12,26.3,424728,88.5
18-Aug-12,26.3,424728,88.5
19-Aug-12,26.3,424728,88.5
20-Aug-12,26.5,431386,89.8
21-Aug-12,26.5,433299,90.2
22-Aug-12,26.5,435218,90.6
23-Aug-12,26.6,436178,90.8
24-Aug-12,26.6,437622,91.1
25-Aug-12,26.6,437622,91.1
26-Aug-12,26.6,437622,91.1
27-Aug-12,26.8,448294,93.4
28-Aug-12,26.9,450740,93.9
29-Aug-12,26.9,450740,93.9
30-Aug-12,26.9,453194,94.4
31-Aug-12,26.9,453194,94.4
1-Sep-12,27.1,460602,95.9
2-Sep-12,27.1,464582,96.8
3-Sep-12,27.2,465580,97
4-Sep-12,27.2,466579,97.2
5-Sep-12,27.2,468080,97.5
6-Sep-12,27.2,470086,97.9
7-Sep-12,27.3,470588,98
8-Sep-12,27.3,470588,98
9-Sep-12,27.3,470588,98
10-Sep-12,27.3,472096,98.3
11-Sep-12,27.4,475627,99.1
12-Sep-12,27.4,477145,99.4
13-Sep-12,27.4,477145,99.4
14-Sep-12,27.4,478158,99.6
15-Sep-12,27.4,478158,99.6
16-Sep-12,27.4,478665,99.7
17-Sep-12,27.4,478665,99.7
18-Sep-12,27.4,478665,99.7
19-Sep-12,27.4,478665,99.7
20-Sep-12,27.4,479172,99.8
21-Sep-12,27.4,479172,99.8
22-Sep-12,27.4,479172,99.8
23-Sep-12,27.5,480697,100.1
24-Sep-12,27.5,485285,101.1
25-Sep-12,27.5,485285,101.1
26-Sep-12,27.5,485285,101.1
27-Sep-12,27.5,485285,101.1
28-Sep-12,27.7,490928,102.2
29-Sep-12,27.7,490928,102.2
30-Sep-12,27.7,490928,102.2
1-Oct-12,27.7,493505,102.8
2-Oct-12,27.7,493505,102.8
3-Oct-12,27.7,493505,102.8
4-Oct-12,27.7,495055,103.1
5-Oct-12,27.7,492473,102.6
6-Oct-12,27.7,492473,102.6
7-Oct-12,27.7,492473,102.6
8-Oct-12,27.7,490928,102.2
9-Oct-12,27.7,490928,102.2
10-Oct-12,27.6,490413,102.1
11-Oct-12,27.6,489899,102
12-Oct-12,27.6,489899,102
13-Oct-12,27.6,489899,102
14-Oct-12,27.6,489385,101.9
15-Oct-12,27.6,488358,101.7
16-Oct-12,27.6,487333,101.5
17-Oct-12,27.6,487333,101.5
18-Oct-12,27.6,487333,101.5
19-Oct-12,27.6,488358,101.7
20-Oct-12,27.7,491958,102.5
21-Oct-12,27.7,491958,102.5
22-Oct-12,27.8,496089,103.3
23-Oct-12,27.8,496089,103.3
24-Oct-12,27.7,495572,103.2
25-Oct-12,27.7,495572,103.2
26-Oct-12,27.7,495055,103.1
27-Oct-12,27.7,495055,103.1
28-Oct-12,27.7,494538,103
29-Oct-12,27.7,490928,102.2
30-Oct-12,27.7,490928,102.2
31-Oct-12,27.6,488872,101.8
1-Nov-12,27.6,487333,101.5
2-Nov-12,27.6,486309,101.3
3-Nov-12,27.6,485797,101.2
4-Nov-12,27.6,485797,101.2
5-Nov-12,27.5,484774,101
6-Nov-12,27.5,484774,101
7-Nov-12,27.5,483753,100.7
