Year,Low Elev,High Elev
1935,673.5,928.45
1936,905.2,1025.87
1937,1021.9,1102.88
1938,1094.61,1173.56
1939,1156.1,1183.5
1940,1164.21,1182.21
1941,1166.74,1220.46
1942,1171.04,1213.46
1943,1176.71,1202.45
1944,1157.17,1200.36
1945,1146.54,1182.5
1946,1146.5,1164.32
1947,1133.9,1180.27
1948,1154.45,1192.8
1949,1145.18,1196.68
1950,1149.95,1177.66
1951,1141.19,1169.01
1952,1133.24,1201.13
1953,1145.78,1169.13
1954,1105.48,1145.83
1955,1089.39,1106.63
1956,1083.19,1116.84
1957,1089.48,1184.11
1958,1161,1205.93
1959,1167.11,1185.93
1960,1162.97,1184.19
1961,1152.78,1165.21
1962,1153.16,1204.21
1963,1136.93,1193.19
1964,1088.09,1136.93
1965,1088.07,1129.74
1966,1127.18,1133.84
1967,1127.75,1133.85
1968,1129.84,1139.65
1969,1139.38,1152.5
1970,1150.39,1154.18
1971,1148.05,1160.13
1972,1153.97,1168.35
1973,1168.35,1187.01
1974,1168.81,1180.23
1975,1173.61,1181.03
1976,1177.58,1188.27
1977,1175.8,1193.82
1978,1180.82,1193.31
1979,1193.37,1202.85
1980,1197.64,1205.05
1981,1192.44,1204.76
1982,1196.25,1208.37
1983,1206.83,1225.85
1984,1205.73,1213.73
1985,1205.49,1214.36
1986,1201.42,1213.2
1987,1205.6,1210.83
1988,1199.14,1211.82
1989,1189.02,1202.57
1990,1177.87,1191.88
1991,1172.7,1180.19
1992,1173.39,1180.55
1993,1176.9,1193.75
1994,1175.67,1190.98
1995,1176.52,1190.96
1996,1189.68,1195.05
1997,1194.36,1214.65
1998,1211.37,1215.95
1999,1206.4,1213.96
2000,1195.67,1214.14
2001,1177.18,1197.47
2002,1152.1,1178.04
2003,1139.04,1154.63
2004,1125.69,1140.58
2005,1130.01,1147.8
2006,1125.14,1141.39
2007,1110.18,1130.03
2008,1104.41,1117.96
2009,1093.2,1112.66
2010,1081.85,1103.35
2011,1086.24,1132.83
2012,1114.98,1134.56
2013,1103.79,1122.72
2014,1080.19,1108.96
2015,1074.71,1089.32
2016,1071.61,1084.46
2017,1078.89,1089.8
2018,1076.38,1088.35
2019,1081.47,1090.49
